date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-02,01,01001,2,3,1,1,4,38,35,0
2021-11-02,01,01002,3,5,2,2,46,116,113,43
2021-11-02,01,01003,2,2,4,2,19,116,116,19
2021-11-02,01,01004,1,1,0,0,1,24,24,1
2021-11-02,01,01051,1,1,2,0,3,35,35,3
2021-11-02,01,01053,2,2,1,1,5,13,13,5
2021-11-02,01,01054,3,3,3,2,6,18,18,6
2021-11-02,01,01055,3,3,1,0,7,43,43,7
2021-11-02,01,01056,2,2,1,1,5,32,32,5
2021-11-02,01,01057,1,1,0,0,0,12,12,0
2021-11-02,01,01058,3,5,0,0,14,28,23,13
2021-11-02,01,01059,1,1,0,0,1,23,23,1
2021-11-02,01,01060,3,3,3,1,19,66,66,19
2021-11-02,01,01061,1,3,1,0,6,37,27,3
2021-11-02,01,01062,3,3,2,0,7,19,19,7
2021-11-02,02,02000,24,34,45,28,95,529,455,60
2021-11-02,03,03101,5,7,1,1,25,104,93,19
2021-11-02,03,03102,2,2,1,1,6,23,23,6
2021-11-02,03,03103,1,3,2,2,2,29,21,1
2021-11-02,03,03151,1,1,2,2,0,11,11,0
2021-11-02,03,03153,3,3,2,1,1,28,28,1
2021-11-02,03,03154,1,1,3,2,4,13,13,4
2021-11-02,03,03155,2,2,0,0,5,15,15,5
2021-11-02,03,03157,1,1,2,0,3,15,15,3
2021-11-02,03,03158,1,1,0,0,7,9,9,7
2021-11-02,03,03159,7,8,10,6,5,120,106,4
2021-11-02,03,03241,16,19,34,27,36,359,308,30
2021-11-02,03,03251,3,3,0,0,1,16,16,1
2021-11-02,03,03252,4,6,4,1,12,63,61,8
2021-11-02,03,03254,4,7,1,0,10,63,53,9
2021-11-02,03,03255,1,1,3,1,2,9,9,2
2021-11-02,03,03256,1,1,1,0,1,13,13,1
2021-11-02,03,03257,1,1,1,0,1,26,26,1
2021-11-02,03,03351,1,2,3,2,1,29,20,0
2021-11-02,03,03352,2,2,0,0,6,9,9,6
2021-11-02,03,03353,3,3,5,2,3,29,29,3
2021-11-02,03,03354,1,1,2,0,0,7,7,0
