date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-20,01,01001,2,3,0,0,7,35,31,4
2021-11-20,01,01002,3,5,3,3,37,125,123,33
2021-11-20,01,01003,2,2,7,4,19,115,115,19
2021-11-20,01,01004,1,1,1,0,2,23,23,2
2021-11-20,01,01051,1,1,1,1,2,36,36,2
2021-11-20,01,01053,2,2,0,0,5,13,13,5
2021-11-20,01,01054,3,3,3,1,2,22,22,2
2021-11-20,01,01055,3,3,2,1,11,36,36,11
2021-11-20,01,01056,2,2,2,1,8,29,29,8
2021-11-20,01,01057,1,1,2,1,2,10,10,2
2021-11-20,01,01058,3,5,1,0,11,31,27,9
2021-11-20,01,01059,1,1,0,0,4,20,20,4
2021-11-20,01,01060,3,3,4,2,24,56,56,24
2021-11-20,01,01061,1,3,2,1,8,31,21,5
2021-11-20,01,01062,3,3,3,3,5,23,23,5
2021-11-20,02,02000,24,34,48,28,107,501,438,61
2021-11-20,03,03101,5,7,6,2,27,102,91,21
2021-11-20,03,03102,2,2,2,1,3,26,26,3
2021-11-20,03,03103,1,3,7,4,5,25,18,3
2021-11-20,03,03151,1,1,7,3,0,12,12,0
2021-11-20,03,03153,3,3,2,1,2,23,23,2
2021-11-20,03,03154,1,1,1,0,1,15,15,1
2021-11-20,03,03155,2,2,2,0,6,14,14,6
2021-11-20,03,03157,1,1,0,0,2,14,14,2
2021-11-20,03,03158,1,1,2,1,2,14,14,2
2021-11-20,03,03159,7,8,19,12,14,119,104,12
2021-11-20,03,03241,16,19,31,14,41,344,300,31
2021-11-20,03,03251,3,3,0,0,5,12,12,5
2021-11-20,03,03252,4,6,1,0,20,55,54,15
2021-11-20,03,03254,4,7,4,1,15,59,54,9
2021-11-20,03,03255,1,1,3,1,0,11,11,0
2021-11-20,03,03256,1,1,0,0,2,12,12,2
2021-11-20,03,03257,1,1,4,1,2,25,25,2
2021-11-20,03,03351,1,2,5,2,5,27,22,0
2021-11-20,03,03352,2,2,2,0,3,12,12,3
2021-11-20,03,03353,3,3,2,1,6,23,23,6
2021-11-20,03,03354,1,1,1,1,0,6,6,0
2021-11-20,03,03355,1,3,0,0,5,36,21,5
2021-11-20,03,03356,2,3,3,1,3,8,8,3
2021-11-20,03,03357,2,3,2,0,7,23,21,5
2021-11-20,03,03358,2,2,1,0,5,15,15,5
2021-11-20,03,03359,2,3,1,0,7,22,22,4
2021-11-20,03,03360,2,2,1,1,3,73,73,3
2021-11-20,03,03361,2,2,3,1,1,14,14,1
2021-11-20,03,03401,1,1,1,0,0,16,16,0
2021-11-20,03,03402,1,1,2,1,1,18,18,1
2021-11-20,03,03403,3,6,13,9,12,108,89,6
2021-11-20,03,03404,4,5,12,7,7,110,94,7
2021-11-20,03,03405,1,2,4,2,5,23,19,1
2021-11-20,03,03451,2,3,3,1,1,31,31,1
2021-11-20,03,03452,3,4,1,1,12,25,24,5
2021-11-20,03,03453,3,3,5,3,4,19,19,4
2021-11-20,03,03454,6,10,2,1,22,62,53,11
2021-11-20,03,03455,2,2,3,1,4,25,25,4
