date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-17,01,01001,2,3,0,0,5,37,33,2
2021-11-17,01,01002,3,5,4,4,42,122,120,38
2021-11-17,01,01003,2,2,11,8,17,116,116,17
2021-11-17,01,01004,1,1,0,0,2,23,23,2
2021-11-17,01,01051,1,1,2,1,2,36,36,2
2021-11-17,01,01053,2,2,0,0,2,16,16,2
2021-11-17,01,01054,3,3,3,2,5,19,19,5
2021-11-17,01,01055,3,3,1,0,12,33,33,12
2021-11-17,01,01056,2,2,2,1,4,30,30,4
2021-11-17,01,01057,1,1,0,0,0,12,12,0
2021-11-17,01,01058,3,5,1,0,15,27,25,11
2021-11-17,01,01059,1,1,0,0,4,20,20,4
2021-11-17,01,01060,3,3,2,2,26,59,59,26
2021-11-17,01,01061,1,3,1,0,5,34,24,2
2021-11-17,01,01062,3,3,1,1,8,24,24,8
2021-11-17,02,02000,24,34,50,27,92,521,442,62
2021-11-17,03,03101,5,7,3,1,24,105,95,17
2021-11-17,03,03102,2,2,1,0,2,27,27,2
2021-11-17,03,03103,1,3,7,5,2,30,22,1
2021-11-17,03,03151,1,1,6,2,0,12,12,0
2021-11-17,03,03153,3,3,3,1,1,23,23,1
2021-11-17,03,03154,1,1,1,1,1,16,16,1
2021-11-17,03,03155,2,2,2,0,4,16,16,4
2021-11-17,03,03157,1,1,0,0,6,12,12,6
2021-11-17,03,03158,1,1,2,0,2,14,14,2
2021-11-17,03,03159,7,8,14,9,29,104,94,19
2021-11-17,03,03241,16,19,31,16,34,369,324,20
2021-11-17,03,03251,3,3,0,0,3,14,14,3
2021-11-17,03,03252,4,6,4,0,13,61,60,8
2021-11-17,03,03254,4,7,2,1,8,68,59,6
2021-11-17,03,03255,1,1,2,1,2,9,9,2
2021-11-17,03,03256,1,1,0,0,1,13,13,1
2021-11-17,03,03257,1,1,1,1,4,23,23,4
2021-11-17,03,03351,1,2,3,2,5,25,19,1
2021-11-17,03,03352,2,2,0,0,6,6,6,6
2021-11-17,03,03353,3,3,3,1,3,29,29,3
2021-11-17,03,03354,1,1,2,2,0,6,6,0
2021-11-17,03,03355,1,3,0,0,6,39,22,6
2021-11-17,03,03356,2,3,4,2,1,10,10,1
2021-11-17,03,03357,2,3,0,0,4,26,25,1
2021-11-17,03,03358,2,2,2,0,7,13,13,7
2021-11-17,03,03359,2,3,1,0,10,21,21,7
2021-11-17,03,03360,2,2,4,3,4,72,72,4
2021-11-17,03,03361,2,2,2,1,4,11,11,4
2021-11-17,03,03401,1,1,1,0,1,15,15,1
2021-11-17,03,03402,1,1,2,1,8,11,11,8
2021-11-17,03,03403,3,6,11,10,9,109,90,3
2021-11-17,03,03404,4,5,13,6,10,110,97,7
2021-11-17,03,03405,1,2,3,2,4,24,18,2
2021-11-17,03,03451,2,3,2,0,8,25,25,8
2021-11-17,03,03452,3,4,1,1,13,24,22,7
2021-11-17,03,03453,3,3,5,3,8,15,15,8
2021-11-17,03,03454,6,10,2,2,20,63,54,9
2021-11-17,03,03455,2,2,2,1,10,21,21,10
2021-11-17,03,03456,1,1,0,0,2,25,25,2
2021-11-17,03,03457,4,6,1,1,12,18,18,7
2021-11-17,03,03458,1,1,0,0,1,4,4,1
2021-11-17,03,03459,6,7,7,4,10,78,78,10
2021-11-17,03,03460,3,5,5,3,8,28,23,5
2021-11-17,03,03461,2,2,1,1,4,7,7,4
2021-11-17,03,03462,1,1,0,0,1,7,7,1
2021-11-17,04,04011,8,9,15,11,10,149,139,4
2021-11-17,04,04012,3,4,5,4,3,45,39,0
2021-11-17,05,05111,11,14,23,10,17,282,257,16
2021-11-17,05,05112,9,16,17,8,29,153,136,18
2021-11-17,05,05113,12,15,30,22,28,340,317,22
2021-11-17,05,05114,4,7,7,2,12,72,63,9
2021-11-17,05,05116,4,6,18,6,6,83,76,6
2021-11-17,05,05117,2,2,1,0,4,30,30,4
2021-11-17,05,05119,4,6,6,3,14,56,46,5
2021-11-17,05,05120,1,1,2,2,2,24,24,2
2021-11-17,05,05122,3,4,8,5,8,64,60,8
2021-11-17,05,05124,5,7,8,5,26,123,114,21
2021-11-17,05,05154,5,8,7,0,10,57,56,4
2021-11-17,05,05158,6,6,5,2,11,52,52,11
2021-11-17,05,05162,5,7,10,3,12,89,78,9
2021-11-17,05,05166,4,4,3,0,2,34,34,2
2021-11-17,05,05170,8,11,18,6,16,107,102,10
2021-11-17,05,05314,11,18,24,17,8,282,222,5
2021-11-17,05,05315,18,30,49,24,29,357,302,25
2021-11-17,05,05316,2,5,4,3,6,63,46,5
2021-11-17,05,05334,7,13,16,13,19,260,245,16
2021-11-17,05,05358,4,6,4,2,12,51,47,8
2021-11-17,05,05362,6,6,5,2,9,51,51,9
2021-11-17,05,05366,3,3,4,2,1,27,27,1
2021-11-17,05,05370,3,3,8,6,1,39,39,1
2021-11-17,05,05374,6,6,7,4,12,64,64,12
2021-11-17,05,05378,4,4,4,2,4,36,36,4
2021-11-17,05,05382,6,7,8,0,5,81,69,5
2021-11-17,05,05512,2,2,4,2,12,31,31,12
2021-11-17,05,05513,4,7,10,6,17,80,65,6
2021-11-17,05,05515,7,9,10,10,10,192,176,9
2021-11-17,05,05554,5,6,7,2,11,55,54,11
2021-11-17,05,05558,3,5,1,0,5,26,16,5
2021-11-17,05,05562,14,15,19,9,32,194,172,22
2021-11-17,05,05566,5,7,4,1,27,79,65,26
2021-11-17,05,05570,5,6,4,1,14,34,34,12
2021-11-17,05,05711,4,6,15,7,8,130,107,3
2021-11-17,05,05754,4,4,8,2,6,46,46,6
2021-11-17,05,05758,3,5,4,4,9,47,39,7
2021-11-17,05,05762,5,6,3,2,4,31,27,4
2021-11-17,05,05766,2,2,13,8,2,48,48,2
2021-11-17,05,05770,6,9,20,11,28,179,158,27
2021-11-17,05,05774,5,7,11,10,12,73,65,5
2021-11-17,05,05911,6,8,17,12,16,170,155,10
2021-11-17,05,05913,9,9,15,11,26,264,264,26
2021-11-17,05,05914,5,7,5,2,10,76,73,3
2021-11-17,05,05915,5,7,5,3,22,72,61,11
2021-11-17,05,05916,4,4,5,3,8,56,56,8
2021-11-17,05,05954,6,8,3,2,30,104,66,25
2021-11-17,05,05958,9,10,7,3,14,76,73,13
2021-11-17,05,05962,8,10,8,5,19,87,84,14
2021-11-17,05,05966,3,3,0,0,6,20,20,6
2021-11-17,05,05970,5,5,9,6,10,93,93,10
2021-11-17,05,05974,7,9,6,1,23,69,63,13
2021-11-17,05,05978,8,8,6,1,7,99,99,7
2021-11-17,06,06411,4,7,9,7,15,85,47,4
2021-11-17,06,06412,12,17,45,15,40,261,236,34
2021-11-17,06,06413,2,4,18,13,4,102,91,3
2021-11-17,06,06414,4,6,19,10,11,93,81,11
2021-11-17,06,06431,5,5,5,2,5,35,35,5
2021-11-17,06,06432,2,2,12,8,1,25,25,1
2021-11-17,06,06433,2,2,9,3,1,23,23,1
2021-11-17,06,06434,2,2,6,3,5,19,19,5
2021-11-17,06,06435,4,7,15,7,8,76,70,1
2021-11-17,06,06436,2,2,5,1,0,26,26,0
2021-11-17,06,06437,2,2,2,2,5,121,121,5
2021-11-17,06,06438,2,2,9,6,6,16,16,6
2021-11-17,06,06439,2,2,4,3,3,13,13,3
2021-11-17,06,06440,5,5,7,2,0,64,64,0
