null,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
0,1,1001,2,0,0,2,41,41,2020-04-29 09:15:00
1,1,1002,4,4,2,3,101,115,2020-04-29 09:15:00
2,1,1003,2,5,5,2,115,108,2020-04-29 09:15:00
3,1,1004,1,1,1,1,18,20,2020-04-29 09:15:00
4,1,1051,1,3,1,1,49,26,2020-04-29 09:15:00
5,1,1053,2,1,1,2,8,10,2020-04-29 09:15:00
6,1,1054,3,0,0,3,18,26,2020-04-29 09:15:00
7,1,1055,3,0,0,3,28,24,2020-04-29 09:15:00
8,1,1056,2,5,5,2,10,27,2020-04-29 09:15:00
9,1,1057,1,2,1,1,4,8,2020-04-29 09:15:00
10,1,1058,2,3,3,2,18,24,2020-04-29 09:15:00
11,1,1059,1,0,0,1,9,15,2020-04-29 09:15:00
12,1,1060,4,1,0,4,59,73,2020-04-29 09:15:00
13,1,1061,1,0,0,1,16,24,2020-04-29 09:15:00
14,1,1062,3,0,0,3,23,37,2020-04-29 09:15:00
15,2,2000,28,79,67,24,416,562,2020-04-29 09:15:00
16,3,3101,5,6,5,5,55,93,2020-04-29 09:15:00
17,3,3102,2,0,0,2,5,22,2020-04-29 09:15:00
18,3,3103,1,0,0,1,29,19,2020-04-29 09:15:00
19,3,3151,2,0,0,2,10,10,2020-04-29 09:15:00
20,3,3153,3,9,7,3,30,44,2020-04-29 09:15:00
21,3,3154,1,4,1,1,16,18,2020-04-29 09:15:00
22,3,3155,2,2,2,2,13,10,2020-04-29 09:15:00
23,3,3157,1,3,1,1,4,18,2020-04-29 09:15:00
24,3,3158,1,4,4,1,5,11,2020-04-29 09:15:00
25,3,3159,7,20,9,7,59,134,2020-04-29 09:15:00
26,3,3241,16,35,26,16,166,345,2020-04-29 09:15:00
27,3,3251,3,2,1,3,13,5,2020-04-29 09:15:00
28,3,3252,4,3,2,4,21,54,2020-04-29 09:15:00
29,3,3254,5,8,4,4,52,58,2020-04-29 09:15:00
30,3,3255,1,0,0,1,3,11,2020-04-29 09:15:00
31,3,3256,1,0,0,1,16,18,2020-04-29 09:15:00
32,3,3257,1,2,0,1,0,23,2020-04-29 09:15:00
33,3,3351,3,2,0,1,21,26,2020-04-29 09:15:00
34,3,3352,2,1,0,2,9,9,2020-04-29 09:15:00
35,3,3353,3,4,3,3,31,33,2020-04-29 09:15:00
36,3,3354,1,0,0,1,20,5,2020-04-29 09:15:00
37,3,3355,2,0,0,2,20,23,2020-04-29 09:15:00
38,3,3356,2,0,0,2,8,8,2020-04-29 09:15:00
39,3,3357,3,2,2,2,14,25,2020-04-29 09:15:00
40,3,3358,3,1,1,3,17,25,2020-04-29 09:15:00
41,3,3359,3,0,0,2,17,24,2020-04-29 09:15:00
42,3,3360,2,2,1,2,23,5,2020-04-29 09:15:00
43,3,3361,2,0,0,2,8,9,2020-04-29 09:15:00
44,3,3401,1,2,2,1,14,13,2020-04-29 09:15:00
45,3,3402,1,1,0,1,12,9,2020-04-29 09:15:00
46,3,3403,4,9,7,3,116,81,2020-04-29 09:15:00
47,3,3404,4,8,8,4,92,64,2020-04-29 09:15:00
48,3,3405,1,0,0,1,5,28,2020-04-29 09:15:00
49,3,3451,3,3,3,2,11,29,2020-04-29 09:15:00
50,3,3452,3,0,0,3,20,22,2020-04-29 09:15:00
51,3,3453,3,0,0,3,19,29,2020-04-29 09:15:00
