date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-23,01,01001,2,3,1,0,5,37,33,2
2021-11-23,01,01002,3,5,4,2,39,125,123,35
2021-11-23,01,01003,2,2,9,4,26,106,106,26
2021-11-23,01,01004,1,1,2,0,1,24,24,1
2021-11-23,01,01051,1,1,1,1,1,37,37,1
2021-11-23,01,01053,2,2,0,0,5,12,12,5
2021-11-23,01,01054,3,3,2,1,5,19,19,5
2021-11-23,01,01055,3,3,2,1,3,40,40,3
2021-11-23,01,01056,2,2,4,1,2,33,33,2
2021-11-23,01,01057,1,1,2,1,5,7,7,5
2021-11-23,01,01058,3,5,1,1,7,35,30,6
2021-11-23,01,01059,1,1,0,0,0,24,24,0
2021-11-23,01,01060,3,3,3,2,23,62,62,23
2021-11-23,01,01061,1,3,1,1,10,29,22,4
2021-11-23,01,01062,3,3,5,3,5,27,27,5
2021-11-23,02,02000,24,34,54,30,101,515,444,63
2021-11-23,03,03101,5,7,6,3,21,108,97,15
2021-11-23,03,03102,2,2,3,1,1,28,28,1
2021-11-23,03,03103,1,3,8,6,2,27,20,0
2021-11-23,03,03151,1,1,5,2,0,10,10,0
2021-11-23,03,03153,3,3,3,1,2,23,23,2
2021-11-23,03,03154,1,1,2,1,1,16,16,1
2021-11-23,03,03155,2,2,1,0,9,11,11,9
2021-11-23,03,03157,1,1,0,0,2,14,14,2
2021-11-23,03,03158,1,1,3,1,4,12,12,4
2021-11-23,03,03159,7,8,15,14,29,109,94,22
2021-11-23,03,03241,16,19,31,14,46,351,304,37
2021-11-23,03,03251,3,3,1,0,5,12,12,5
2021-11-23,03,03252,4,6,2,1,11,64,61,8
2021-11-23,03,03254,4,7,6,1,12,62,54,9
2021-11-23,03,03255,1,1,3,1,4,7,7,4
2021-11-23,03,03256,1,1,0,0,1,13,13,1
2021-11-23,03,03257,1,1,4,2,0,24,24,0
2021-11-23,03,03351,1,2,7,2,4,26,20,0
2021-11-23,03,03352,2,2,2,0,1,12,12,1
2021-11-23,03,03353,3,3,2,1,9,23,23,9
2021-11-23,03,03354,1,1,0,0,1,5,5,1
2021-11-23,03,03355,1,3,0,0,7,36,24,2
2021-11-23,03,03356,2,3,1,0,2,9,9,2
2021-11-23,03,03357,2,3,2,0,8,22,20,6
2021-11-23,03,03358,2,2,1,1,5,15,15,5
2021-11-23,03,03359,2,3,2,0,6,25,25,3
2021-11-23,03,03360,2,2,2,2,3,73,73,3
2021-11-23,03,03361,2,2,4,1,0,15,15,0
2021-11-23,03,03401,1,1,0,0,0,16,16,0
2021-11-23,03,03402,1,1,1,1,4,14,14,4
2021-11-23,03,03403,3,6,14,11,11,109,90,5
2021-11-23,03,03404,4,5,13,7,11,109,94,10
2021-11-23,03,03405,1,2,3,2,6,22,19,1
2021-11-23,03,03451,2,3,3,1,6,26,26,6
2021-11-23,03,03452,3,4,2,1,12,24,20,8
2021-11-23,03,03453,3,3,3,3,3,20,20,3
2021-11-23,03,03454,6,10,3,2,21,63,53,11
2021-11-23,03,03455,2,2,4,1,7,24,24,7
2021-11-23,03,03456,1,1,3,0,7,20,20,7
2021-11-23,03,03457,4,6,1,0,14,17,17,9
2021-11-23,03,03458,1,1,0,0,0,5,5,0
2021-11-23,03,03459,6,7,8,3,21,70,70,21
2021-11-23,03,03460,3,5,1,1,9,27,21,7
2021-11-23,03,03461,2,2,1,1,4,9,9,4
2021-11-23,03,03462,1,1,0,0,0,8,8,0
2021-11-23,04,04011,8,9,16,11,10,142,127,9
2021-11-23,04,04012,3,4,4,3,10,40,33,3
2021-11-23,05,05111,11,14,28,12,18,282,257,16
2021-11-23,05,05112,9,16,24,9,19,162,140,12
2021-11-23,05,05113,12,15,33,19,35,340,319,28
2021-11-23,05,05114,4,7,10,6,12,72,63,9
2021-11-23,05,05116,4,6,16,9,7,82,75,7
2021-11-23,05,05117,2,2,5,0,3,31,31,3
2021-11-23,05,05119,4,6,8,2,8,61,46,4
2021-11-23,05,05120,1,1,1,0,3,23,23,3
2021-11-23,05,05122,3,4,13,8,5,67,66,2
2021-11-23,05,05124,5,7,9,7,22,127,117,18
2021-11-23,05,05154,5,8,5,1,10,56,56,2
2021-11-23,05,05158,6,6,9,6,13,46,46,13
2021-11-23,05,05162,5,7,5,4,13,88,77,10
2021-11-23,05,05166,4,4,2,1,1,33,33,1
2021-11-23,05,05170,8,11,18,6,17,108,101,13
2021-11-23,05,05314,11,18,20,15,8,277,221,4
2021-11-23,05,05315,18,30,48,22,36,367,312,31
2021-11-23,05,05316,2,5,10,5,8,61,46,5
2021-11-23,05,05334,7,13,19,10,16,267,251,12
2021-11-23,05,05358,4,6,5,2,14,47,43,9
2021-11-23,05,05362,6,6,6,2,10,49,49,10
2021-11-23,05,05366,3,3,6,2,1,27,27,1
2021-11-23,05,05370,3,3,8,5,5,35,35,5
2021-11-23,05,05374,5,5,12,8,8,49,49,8
2021-11-23,05,05378,4,4,4,3,4,34,34,4
2021-11-23,05,05382,6,7,12,1,9,77,68,8
2021-11-23,05,05512,2,2,1,1,18,25,25,18
2021-11-23,05,05513,4,7,11,8,15,79,66,7
2021-11-23,05,05515,7,9,12,10,15,189,173,15
2021-11-23,05,05554,5,6,8,3,16,51,51,14
2021-11-23,05,05558,3,5,1,0,6,25,15,6
2021-11-23,05,05562,14,15,23,10,31,195,167,27
2021-11-23,05,05566,5,7,7,1,4,97,82,4
2021-11-23,05,05570,5,6,6,2,14,34,34,12
2021-11-23,05,05711,4,6,20,9,10,128,104,6
2021-11-23,05,05754,4,4,11,5,6,42,42,6
2021-11-23,05,05758,3,5,7,4,13,47,41,9
2021-11-23,05,05762,5,6,2,1,3,32,28,3
2021-11-23,05,05766,2,2,14,7,2,48,48,2
2021-11-23,05,05770,6,9,19,11,15,181,161,11
2021-11-23,05,05774,5,7,14,11,12,71,62,6
2021-11-23,05,05911,6,8,17,11,14,171,156,8
2021-11-23,05,05913,9,9,16,11,26,260,260,26
2021-11-23,05,05914,5,7,8,4,9,74,70,3
2021-11-23,05,05915,5,7,3,2,16,76,61,9
2021-11-23,05,05916,4,4,5,3,9,55,55,9
2021-11-23,05,05954,6,8,3,2,25,109,74,17
2021-11-23,05,05958,9,10,4,1,13,74,70,13
2021-11-23,05,05962,8,10,9,5,15,84,80,11
2021-11-23,05,05966,3,3,1,0,11,17,17,11
2021-11-23,05,05970,5,5,11,7,7,96,96,7
2021-11-23,05,05974,7,9,6,2,15,73,66,8
2021-11-23,05,05978,8,8,8,3,5,95,95,5
2021-11-23,06,06411,4,7,11,8,16,90,54,3
2021-11-23,06,06412,12,17,49,21,34,267,243,27
2021-11-23,06,06413,2,4,13,9,17,89,78,16
2021-11-23,06,06414,4,6,19,10,1,102,89,1
2021-11-23,06,06431,5,5,3,0,10,26,26,10
2021-11-23,06,06432,2,2,12,8,0,28,28,0
2021-11-23,06,06433,2,2,9,2,0,25,25,0
2021-11-23,06,06434,2,2,7,2,0,23,23,0
2021-11-23,06,06435,4,7,13,5,12,73,69,3
2021-11-23,06,06436,2,2,3,1,6,20,20,6
2021-11-23,06,06437,2,2,4,1,5,121,121,5
2021-11-23,06,06438,2,2,10,7,5,17,17,5
2021-11-23,06,06439,2,2,6,3,2,15,15,2
2021-11-23,06,06440,5,5,10,2,0,63,63,0
2021-11-23,06,06531,4,6,19,17,16,185,168,11
2021-11-23,06,06532,2,2,3,2,3,41,41,3
2021-11-23,06,06533,3,3,4,1,10,37,37,10
2021-11-23,06,06534,3,3,6,4,10,125,125,10
2021-11-23,06,06535,4,4,1,1,7,18,18,7
2021-11-23,06,06611,6,6,14,4,18,127,127,18
2021-11-23,06,06631,3,5,7,1,10,80,73,6
2021-11-23,06,06632,3,4,6,2,15,42,41,9
2021-11-23,06,06633,4,4,1,1,4,25,25,4
2021-11-23,06,06634,3,3,1,0,6,20,20,6
2021-11-23,06,06635,6,6,5,2,10,73,73,10
2021-11-23,06,06636,3,3,5,2,4,25,25,4
2021-11-23,07,07111,4,6,12,3,33,86,71,28
2021-11-23,07,07131,2,2,2,2,2,15,15,2
2021-11-23,07,07132,2,2,3,0,3,11,11,3
2021-11-23,07,07133,4,6,3,1,15,31,25,7
2021-11-23,07,07134,2,2,4,0,2,16,16,2
2021-11-23,07,07135,2,2,1,0,1,7,7,1
2021-11-23,07,07137,3,3,4,1,10,26,26,10
2021-11-23,07,07138,5,8,7,4,12,53,44,6
2021-11-23,07,07140,2,2,2,1,5,9,9,5
2021-11-23,07,07141,5,5,5,4,2,29,29,2
2021-11-23,07,07143,4,4,7,2,3,31,31,3
2021-11-23,07,07211,3,6,10,4,10,69,61,6
2021-11-23,07,07231,2,2,1,0,6,16,16,6
2021-11-23,07,07232,2,2,4,0,1,13,13,1
2021-11-23,07,07233,2,2,2,1,3,13,13,3
2021-11-23,07,07235,2,2,3,1,7,9,9,7
2021-11-23,07,07311,1,1,2,2,2,9,9,2
2021-11-23,07,07312,1,3,3,0,17,85,74,15
2021-11-23,07,07313,2,3,5,1,5,14,14,0
2021-11-23,07,07314,4,6,8,6,10,97,83,8
2021-11-23,07,07315,2,2,9,7,18,90,90,18
2021-11-23,07,07316,1,1,2,1,2,15,15,2
2021-11-23,07,07317,1,2,3,2,4,12,10,2
2021-11-23,07,07318,2,3,6,3,3,25,24,3
2021-11-23,07,07319,1,3,8,2,7,45,26,2
2021-11-23,07,07320,1,1,1,0,2,7,7,2
2021-11-23,07,07331,1,1,1,1,0,7,7,0
2021-11-23,07,07332,2,2,2,1,3,11,11,3
2021-11-23,07,07333,2,2,3,0,1,11,11,1
2021-11-23,07,07334,2,2,5,5,5,16,16,5
2021-11-23,07,07335,1,1,0,0,7,3,3,7
2021-11-23,07,07336,1,1,2,1,1,15,15,1
2021-11-23,07,07337,2,2,0,0,4,9,9,4
2021-11-23,07,07339,1,1,0,0,0,9,9,0
2021-11-23,07,07340,1,1,1,1,4,5,5,4
2021-11-23,08,08111,10,12,45,23,20,219,198,19
2021-11-23,08,08115,4,6,12,3,3,49,37,2
2021-11-23,08,08116,4,8,27,12,13,67,57,7
2021-11-23,08,08117,3,5,7,6,7,33,30,4
2021-11-23,08,08118,4,5,20,8,6,82,81,5
2021-11-23,08,08119,2,4,11,7,12,52,43,8
2021-11-23,08,08121,1,3,22,13,3,45,36,0
2021-11-23,08,08125,2,2,4,2,1,49,49,1
2021-11-23,08,08126,1,1,5,3,0,7,7,0
2021-11-23,08,08127,2,4,10,1,4,46,41,1
2021-11-23,08,08128,3,4,7,4,13,49,35,11
2021-11-23,08,08135,1,2,6,3,7,17,15,3
2021-11-23,08,08136,4,8,11,3,12,58,44,7
2021-11-23,08,08211,1,3,5,4,4,18,12,0
2021-11-23,08,08212,4,6,24,12,4,104,92,4
2021-11-23,08,08215,3,3,14,8,5,36,36,5
2021-11-23,08,08216,2,2,0,0,0,10,10,0
2021-11-23,08,08221,6,8,27,21,18,214,183,13
2021-11-23,08,08222,3,6,23,18,10,99,82,4
2021-11-23,08,08225,3,3,6,2,4,19,19,4
2021-11-23,08,08226,4,4,7,5,3,35,35,3
2021-11-23,08,08231,2,4,16,6,4,53,41,4
2021-11-23,08,08235,3,3,4,1,6,18,18,6
2021-11-23,08,08236,2,2,1,0,2,10,10,2
2021-11-23,08,08237,1,1,2,1,0,6,6,0
2021-11-23,08,08311,4,7,25,17,54,168,140,46
2021-11-23,08,08315,3,3,5,0,6,23,23,6
2021-11-23,08,08316,3,3,9,6,4,89,89,4
2021-11-23,08,08317,6,8,15,9,14,69,57,11
2021-11-23,08,08325,2,2,11,5,0,13,13,0
2021-11-23,08,08326,2,6,16,4,1,58,48,0
2021-11-23,08,08327,1,1,2,1,3,7,7,3
2021-11-23,08,08335,6,10,7,2,15,71,57,10
2021-11-23,08,08336,2,2,2,1,8,24,12,5
2021-11-23,08,08337,1,1,3,1,0,10,10,0
2021-11-23,08,08415,1,3,6,3,7,37,18,2
2021-11-23,08,08416,2,5,16,13,7,89,61,6
2021-11-23,08,08417,2,2,12,4,1,25,25,1
2021-11-23,08,08421,4,5,19,13,11,115,93,11
2021-11-23,08,08425,2,2,4,2,1,17,17,1
2021-11-23,08,08426,1,1,6,4,0,16,16,0
2021-11-23,08,08435,3,5,11,3,20,33,31,18
2021-11-23,08,08436,4,6,22,14,15,51,49,5
2021-11-23,08,08437,2,2,5,4,1,11,11,1
2021-11-23,09,09161,1,1,16,8,3,45,45,3
2021-11-23,09,09162,24,35,125,73,26,520,451,19
2021-11-23,09,09163,1,3,16,5,11,29,23,3
2021-11-23,09,09171,2,3,13,6,5,22,18,2
2021-11-23,09,09172,3,3,5,4,2,18,18,2
2021-11-23,09,09173,2,2,13,4,4,24,24,4
2021-11-23,09,09174,1,1,8,6,2,28,28,2
2021-11-23,09,09175,1,1,9,5,0,20,20,0
2021-11-23,09,09176,3,3,8,4,4,43,43,4
2021-11-23,09,09177,1,1,7,5,0,19,19,0
2021-11-23,09,09178,1,1,7,6,1,12,12,1
2021-11-23,09,09179,1,1,7,7,1,9,9,1
2021-11-23,09,09180,2,4,17,6,5,53,51,0
2021-11-23,09,09181,1,2,5,0,3,11,9,2
2021-11-23,09,09182,1,1,7,6,5,14,14,5
2021-11-23,09,09183,1,1,10,2,3,12,12,3
2021-11-23,09,09184,2,2,0,0,1,5,5,1
2021-11-23,09,09185,2,4,7,4,4,31,13,2
2021-11-23,09,09186,1,1,4,1,2,7,7,2
2021-11-23,09,09187,5,5,22,14,4,63,63,4
2021-11-23,09,09188,5,6,9,5,7,37,37,7
2021-11-23,09,09189,2,3,24,13,6,50,41,2
2021-11-23,09,09190,3,3,10,10,4,19,19,4
2021-11-23,09,09261,3,5,10,4,3,52,34,1
2021-11-23,09,09262,2,4,12,7,7,39,29,3
2021-11-23,09,09263,1,1,12,4,0,27,27,0
2021-11-23,09,09271,2,2,15,6,1,29,29,1
2021-11-23,09,09272,2,2,10,7,2,16,16,2
2021-11-23,09,09273,3,3,6,2,4,12,12,4
2021-11-23,09,09274,1,1,4,0,1,5,5,1
2021-11-23,09,09275,2,2,14,8,2,25,25,2
2021-11-23,09,09276,2,2,4,1,1,12,12,1
2021-11-23,09,09277,2,2,10,8,1,15,15,1
2021-11-23,09,09278,2,2,8,7,1,12,12,1
2021-11-23,09,09279,2,2,4,2,0,16,16,0
2021-11-23,09,09361,1,3,11,6,10,35,27,7
2021-11-23,09,09362,4,7,42,29,27,171,155,16
2021-11-23,09,09363,1,3,16,10,5,45,39,1
2021-11-23,09,09371,1,1,6,5,4,10,10,4
2021-11-23,09,09372,1,1,5,1,2,8,8,2
2021-11-23,09,09373,1,1,5,3,6,16,16,6
2021-11-23,09,09375,2,2,5,1,1,12,12,1
2021-11-23,09,09376,4,4,7,4,2,24,24,2
2021-11-23,09,09377,2,2,4,2,4,12,12,4
2021-11-23,09,09461,1,4,13,5,15,40,31,4
2021-11-23,09,09462,2,7,9,6,4,57,52,1
2021-11-23,09,09463,1,3,7,3,6,35,30,2
2021-11-23,09,09464,1,3,6,2,5,27,24,2
2021-11-23,09,09471,2,2,9,2,4,12,12,4
2021-11-23,09,09472,1,1,0,0,0,6,6,0
2021-11-23,09,09474,2,2,2,1,2,12,12,2
2021-11-23,09,09475,2,2,7,5,3,14,14,3
2021-11-23,09,09476,1,1,5,3,4,11,11,4
2021-11-23,09,09477,1,1,5,4,1,24,24,1
2021-11-23,09,09478,3,3,1,0,6,31,31,6
2021-11-23,09,09479,2,2,4,1,6,12,12,6
2021-11-23,09,09561,2,2,11,1,5,22,22,5
2021-11-23,09,09562,3,5,27,24,5,114,95,3
2021-11-23,09,09563,1,3,10,4,8,37,36,0
2021-11-23,09,09564,6,12,37,24,23,164,135,14
2021-11-23,09,09565,1,1,3,0,0,5,5,0
2021-11-23,09,09571,3,3,3,1,6,17,17,6
2021-11-23,09,09572,1,1,2,1,0,5,5,0
2021-11-23,09,09574,3,3,9,7,5,19,19,5
2021-11-23,09,09575,2,2,5,1,10,40,40,10
2021-11-23,09,09576,1,1,4,0,0,6,6,0
2021-11-23,09,09577,2,2,6,4,4,11,11,4
2021-11-23,09,09661,1,3,7,5,0,56,41,0
2021-11-23,09,09662,2,4,15,4,7,57,48,4
2021-11-23,09,09663,3,5,20,15,27,108,108,23
2021-11-23,09,09671,1,1,1,1,0,7,7,0
2021-11-23,09,09672,4,4,4,4,5,31,31,5
2021-11-23,09,09673,1,1,17,12,7,133,133,7
2021-11-23,09,09674,2,2,4,1,0,6,6,0
2021-11-23,09,09675,1,1,5,3,0,8,8,0
2021-11-23,09,09676,1,1,7,3,0,10,10,0
2021-11-23,09,09677,1,1,3,3,2,5,5,2
2021-11-23,09,09678,2,2,5,0,1,5,5,1
2021-11-23,09,09679,1,1,1,1,0,8,8,0
2021-11-23,09,09761,3,6,35,11,12,138,92,7
2021-11-23,09,09762,1,1,10,4,2,16,16,2
2021-11-23,09,09763,1,3,6,0,1,41,24,0
2021-11-23,09,09764,1,3,8,3,4,24,18,2
2021-11-23,09,09771,2,2,7,3,0,14,14,0
2021-11-23,09,09772,2,2,9,4,2,10,10,2
2021-11-23,09,09773,2,2,9,7,2,13,13,2
2021-11-23,09,09774,4,4,12,6,10,40,40,10
2021-11-23,09,09775,2,2,6,4,4,14,14,4
2021-11-23,09,09776,2,2,3,2,4,8,8,4
2021-11-23,09,09777,3,3,10,3,1,16,16,1
2021-11-23,09,09778,2,2,10,3,0,14,14,0
2021-11-23,09,09779,3,3,6,2,1,22,22,1
2021-11-23,09,09780,2,2,6,4,6,10,10,6
2021-11-23,10,10041,7,9,25,7,21,154,143,17
2021-11-23,10,10042,1,1,2,0,3,9,9,3
2021-11-23,10,10043,2,4,2,0,9,26,22,3
2021-11-23,10,10044,3,4,5,2,9,50,44,2
2021-11-23,10,10045,2,4,11,7,12,135,121,10
2021-11-23,10,10046,1,1,0,0,4,8,8,4
2021-11-23,11,11000,41,64,206,122,101,1074,978,87
2021-11-23,12,12051,3,4,9,2,12,55,46,5
2021-11-23,12,12052,2,3,12,7,9,79,71,5
2021-11-23,12,12053,1,1,5,4,0,12,12,0
2021-11-23,12,12054,4,6,12,5,18,46,39,3
2021-11-23,12,12060,2,2,7,3,4,62,62,4
2021-11-23,12,12061,5,5,11,4,5,32,32,5
2021-11-23,12,12062,3,3,4,0,2,14,14,2
2021-11-23,12,12063,2,4,2,0,8,13,13,4
2021-11-23,12,12064,3,3,5,2,3,20,20,3
2021-11-23,12,12065,5,5,5,2,5,33,33,5
2021-11-23,12,12066,1,1,13,4,1,18,18,1
2021-11-23,12,12067,3,3,9,1,14,49,49,14
2021-11-23,12,12068,3,3,5,2,3,43,43,3
2021-11-23,12,12069,3,3,4,2,6,60,60,6
2021-11-23,12,12070,2,2,1,0,3,11,11,3
2021-11-23,12,12071,3,3,4,1,2,16,16,2
2021-11-23,12,12072,2,2,1,1,2,12,12,2
2021-11-23,12,12073,4,4,5,2,5,23,23,5
2021-11-23,13,13003,2,4,9,4,31,82,69,20
2021-11-23,13,13004,1,3,2,2,8,64,51,1
2021-11-23,13,13071,5,7,11,5,11,65,54,9
2021-11-23,13,13072,4,6,6,1,13,32,32,13
2021-11-23,13,13073,4,4,12,8,16,43,43,16
2021-11-23,13,13074,2,2,1,1,4,13,13,4
2021-11-23,13,13075,7,9,19,8,26,150,141,15
2021-11-23,13,13076,7,7,6,5,14,111,111,14
2021-11-23,14,14511,3,7,36,23,18,166,151,7
2021-11-23,14,14521,6,7,47,26,17,73,72,14
2021-11-23,14,14522,5,5,23,12,1,45,45,1
2021-11-23,14,14523,5,6,23,13,7,54,53,7
2021-11-23,14,14524,5,6,35,21,9,93,91,9
2021-11-23,14,14612,6,17,91,55,31,255,232,24
2021-11-23,14,14625,6,7,30,10,6,58,58,6
2021-11-23,14,14626,6,7,23,14,9,54,48,9
2021-11-23,14,14627,5,5,31,16,8,56,56,8
2021-11-23,14,14628,6,6,93,11,8,121,121,8
2021-11-23,14,14713,7,11,50,28,28,299,261,14
2021-11-23,14,14729,3,4,11,8,4,55,48,3
2021-11-23,14,14730,8,8,12,4,15,43,43,15
2021-11-23,15,15001,1,3,2,0,9,25,22,0
2021-11-23,15,15002,5,10,27,18,22,248,228,13
2021-11-23,15,15003,6,9,12,8,17,178,168,3
2021-11-23,15,15081,2,2,6,2,2,12,12,2
2021-11-23,15,15082,3,3,8,4,17,16,16,17
2021-11-23,15,15083,2,2,2,2,1,13,13,1
2021-11-23,15,15084,3,3,8,4,3,24,24,3
2021-11-23,15,15085,4,5,11,4,2,50,42,2
2021-11-23,15,15086,2,2,4,3,4,18,18,4
2021-11-23,15,15087,3,3,12,9,3,27,27,3
2021-11-23,15,15088,2,2,6,2,1,19,19,1
2021-11-23,15,15089,4,4,9,4,2,33,33,2
2021-11-23,15,15090,2,3,3,1,6,18,18,3
2021-11-23,15,15091,2,4,6,2,4,26,26,2
2021-11-23,16,16051,2,3,31,14,7,65,62,6
2021-11-23,16,16052,1,1,18,7,4,44,44,4
2021-11-23,16,16053,1,3,18,14,8,99,77,0
2021-11-23,16,16054,1,2,11,9,10,22,18,4
2021-11-23,16,16055,1,1,5,1,1,13,13,1
2021-11-23,16,16056,1,1,9,5,0,13,13,0
2021-11-23,16,16061,2,2,8,2,2,15,15,2
2021-11-23,16,16062,3,4,13,7,15,37,31,7
2021-11-23,16,16063,3,3,3,2,12,62,62,12
2021-11-23,16,16064,3,4,5,2,1,16,14,1
2021-11-23,16,16065,1,1,0,0,0,6,6,0
2021-11-23,16,16066,2,2,17,9,5,37,37,5
2021-11-23,16,16067,2,2,12,5,4,15,15,4
2021-11-23,16,16068,1,1,2,0,0,6,6,0
2021-11-23,16,16069,1,1,3,1,2,4,4,2
2021-11-23,16,16070,2,3,10,8,2,15,14,2
2021-11-23,16,16071,3,3,14,8,7,73,73,7
2021-11-23,16,16072,1,1,3,3,2,4,4,2
2021-11-23,16,16073,1,1,15,10,6,16,16,6
2021-11-23,16,16074,1,1,0,0,3,5,5,3
2021-11-23,16,16075,1,1,3,1,0,4,4,0
2021-11-23,16,16076,1,1,3,0,3,7,7,3
2021-11-23,16,16077,1,2,8,3,2,30,27,1
