date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-03,01,01001,2,3,1,1,5,37,34,1
2021-11-03,01,01002,3,5,4,4,45,119,116,42
2021-11-03,01,01003,2,2,7,4,18,117,117,18
2021-11-03,01,01004,1,1,0,0,3,22,22,3
2021-11-03,01,01051,1,1,2,0,3,35,35,3
2021-11-03,01,01053,2,2,1,0,4,14,14,4
2021-11-03,01,01054,3,3,3,2,7,17,17,7
2021-11-03,01,01055,3,3,1,0,13,37,37,13
2021-11-03,01,01056,2,2,1,1,1,34,34,1
2021-11-03,01,01057,1,1,0,0,8,4,4,8
2021-11-03,01,01058,3,5,0,0,6,36,31,5
2021-11-03,01,01059,1,1,0,0,0,24,24,0
2021-11-03,01,01060,3,3,2,1,16,69,69,16
2021-11-03,01,01061,1,3,0,0,9,34,24,6
2021-11-03,01,01062,3,3,1,0,5,25,25,5
2021-11-03,02,02000,24,34,46,28,92,531,457,57
2021-11-03,03,03101,5,7,2,1,30,99,88,24
2021-11-03,03,03102,2,2,1,1,2,27,27,2
2021-11-03,03,03103,1,3,2,2,3,28,21,1
2021-11-03,03,03151,1,1,2,1,1,11,11,1
2021-11-03,03,03153,3,3,2,1,2,27,27,2
2021-11-03,03,03154,1,1,3,2,4,13,13,4
2021-11-03,03,03155,2,2,2,1,4,17,17,4
2021-11-03,03,03157,1,1,2,1,5,11,11,5
2021-11-03,03,03158,1,1,0,0,4,12,12,4
2021-11-03,03,03159,7,8,10,9,23,116,101,21
2021-11-03,03,03241,16,19,33,26,35,363,312,32
2021-11-03,03,03251,3,3,0,0,2,15,15,2
2021-11-03,03,03252,4,6,4,1,9,65,62,6
2021-11-03,03,03254,4,7,1,0,11,65,58,7
2021-11-03,03,03255,1,1,2,1,3,8,8,3
2021-11-03,03,03256,1,1,1,0,0,14,14,0
2021-11-03,03,03257,1,1,2,0,2,25,25,2
2021-11-03,03,03351,1,2,3,2,2,30,22,0
2021-11-03,03,03352,2,2,0,0,7,8,8,7
2021-11-03,03,03353,3,3,6,2,4,28,28,4
2021-11-03,03,03354,1,1,1,1,1,5,5,1
2021-11-03,03,03355,1,3,1,1,14,31,21,7
2021-11-03,03,03356,2,3,1,0,2,10,10,2
2021-11-03,03,03357,2,3,1,0,4,28,27,1
2021-11-03,03,03358,2,2,1,0,4,14,14,4
2021-11-03,03,03359,2,3,0,0,6,25,25,3
2021-11-03,03,03360,2,2,2,2,2,74,74,2
2021-11-03,03,03361,2,2,1,0,0,14,14,0
2021-11-03,03,03401,1,1,1,0,0,16,16,0
2021-11-03,03,03402,1,1,1,1,4,15,15,4
2021-11-03,03,03403,3,6,11,8,10,108,90,4
2021-11-03,03,03404,4,5,13,7,4,116,100,4
2021-11-03,03,03405,1,2,2,2,11,18,13,8
2021-11-03,03,03451,2,3,0,0,6,27,27,6
2021-11-03,03,03452,3,4,1,0,7,29,24,4
2021-11-03,03,03453,3,3,4,3,6,18,18,6
2021-11-03,03,03454,6,10,5,1,21,69,54,9
2021-11-03,03,03455,2,2,0,0,0,31,31,0
2021-11-03,03,03456,1,1,1,0,6,21,21,6
2021-11-03,03,03457,4,6,0,0,14,17,17,9
2021-11-03,03,03458,1,1,1,1,2,8,8,2
2021-11-03,03,03459,6,7,3,1,17,78,78,17
2021-11-03,03,03460,3,5,2,1,5,29,24,2
2021-11-03,03,03461,2,2,0,0,3,12,12,3
2021-11-03,03,03462,1,1,0,0,0,8,8,0
2021-11-03,04,04011,8,9,16,9,5,150,135,4
2021-11-03,04,04012,3,4,6,6,16,35,34,9
2021-11-03,05,05111,11,14,26,9,22,283,259,18
2021-11-03,05,05112,9,15,12,2,24,167,148,19
2021-11-03,05,05113,12,15,20,12,27,340,317,21
2021-11-03,05,05114,4,7,7,3,9,77,66,8
2021-11-03,05,05116,4,6,11,5,8,83,76,8
2021-11-03,05,05117,2,2,2,1,6,30,30,6
2021-11-03,05,05119,4,6,3,3,10,62,48,5
2021-11-03,05,05120,1,1,0,0,6,20,20,6
2021-11-03,05,05122,3,4,5,3,11,61,60,8
2021-11-03,05,05124,5,7,8,4,26,124,115,21
2021-11-03,05,05154,5,8,3,1,9,58,58,1
2021-11-03,05,05158,6,6,5,1,7,54,54,7
2021-11-03,05,05162,5,7,4,2,16,85,77,10
2021-11-03,05,05166,4,4,1,1,3,31,31,3
2021-11-03,05,05170,8,11,4,1,26,101,96,21
2021-11-03,05,05314,11,18,17,11,17,271,211,15
2021-11-03,05,05315,18,30,39,22,16,383,325,14
2021-11-03,05,05316,2,5,5,2,7,62,45,6
2021-11-03,05,05334,7,13,14,9,18,264,249,15
2021-11-03,05,05358,4,6,7,4,7,55,49,5
2021-11-03,05,05362,6,6,4,2,8,50,50,8
2021-11-03,05,05366,3,3,5,4,3,23,23,3
2021-11-03,05,05370,3,3,6,3,2,38,38,2
2021-11-03,05,05374,5,5,7,0,9,50,50,9
2021-11-03,05,05378,4,4,5,4,3,38,38,3
2021-11-03,05,05382,6,7,7,2,11,75,63,11
2021-11-03,05,05512,2,2,2,2,16,27,27,16
2021-11-03,05,05513,4,7,4,2,19,76,65,4
2021-11-03,05,05515,7,9,5,4,13,202,187,12
2021-11-03,05,05554,5,6,5,4,14,53,51,14
2021-11-03,05,05558,3,5,2,1,1,30,20,1
2021-11-03,05,05562,14,15,13,4,31,195,167,27
2021-11-03,05,05566,5,7,4,2,16,90,75,16
2021-11-03,05,05570,5,6,4,1,5,40,39,4
2021-11-03,05,05711,4,6,8,4,15,127,102,8
2021-11-03,05,05754,3,3,3,0,9,23,23,9
2021-11-03,05,05758,3,5,5,3,9,45,42,2
