date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-10-29,01,01001,2,3,1,0,5,36,33,1
2021-10-29,01,01002,3,5,2,2,47,117,115,43
2021-10-29,01,01003,2,2,2,2,28,106,106,28
2021-10-29,01,01004,1,1,0,0,6,19,19,6
2021-10-29,01,01051,1,1,1,0,2,36,36,2
2021-10-29,01,01053,2,2,1,1,2,16,16,2
2021-10-29,01,01054,3,3,1,0,13,11,11,13
2021-10-29,01,01055,3,3,1,0,4,41,41,4
2021-10-29,01,01056,2,2,1,1,0,32,32,0
2021-10-29,01,01057,1,1,0,0,4,8,8,4
2021-10-29,01,01058,3,5,1,1,13,29,24,12
2021-10-29,01,01059,1,1,0,0,1,23,23,1
2021-10-29,01,01060,3,3,2,1,27,53,53,27
2021-10-29,01,01061,1,3,0,0,10,33,22,8
2021-10-29,01,01062,3,3,1,0,6,24,24,6
2021-10-29,02,02000,23,33,40,25,75,528,451,47
2021-10-29,03,03101,5,7,1,1,34,95,84,28
2021-10-29,03,03102,2,2,1,1,4,25,25,4
2021-10-29,03,03103,1,3,1,1,4,27,20,2
2021-10-29,03,03151,1,1,3,2,0,15,15,0
2021-10-29,03,03153,3,3,2,1,1,24,24,1
2021-10-29,03,03154,1,1,2,2,0,17,17,0
2021-10-29,03,03155,2,2,0,0,3,15,15,3
2021-10-29,03,03157,1,1,1,0,7,11,11,7
2021-10-29,03,03158,1,1,0,0,2,14,14,2
2021-10-29,03,03159,7,8,9,5,8,113,97,8
2021-10-29,03,03241,16,19,31,24,40,352,305,30
2021-10-29,03,03251,3,3,0,0,7,10,10,7
2021-10-29,03,03252,4,6,2,1,15,60,60,9
2021-10-29,03,03254,4,7,2,1,13,61,53,10
2021-10-29,03,03255,1,1,1,1,2,9,9,2
2021-10-29,03,03256,1,1,0,0,1,13,13,1
2021-10-29,03,03257,1,1,0,0,1,26,26,1
2021-10-29,03,03351,1,2,4,4,2,30,20,2
