date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-01,01,01001,2,3,1,0,5,37,34,1
2021-11-01,01,01002,3,5,3,2,49,113,111,45
2021-11-01,01,01003,2,2,1,1,31,103,103,31
2021-11-01,01,01004,1,1,1,0,3,22,22,3
2021-11-01,01,01051,1,1,2,0,3,35,35,3
2021-11-01,01,01053,2,2,1,1,7,11,11,7
2021-11-01,01,01054,3,3,3,2,7,17,17,7
2021-11-01,01,01055,3,3,0,0,9,38,38,9
2021-11-01,01,01056,2,2,1,1,3,34,34,3
2021-11-01,01,01057,1,1,0,0,5,7,7,5
2021-11-01,01,01058,3,5,0,0,20,22,19,17
2021-11-01,01,01059,1,1,0,0,3,21,21,3
2021-11-01,01,01060,3,3,3,2,25,60,60,25
2021-11-01,01,01061,1,3,1,0,9,34,23,7
2021-11-01,01,01062,3,3,2,0,6,20,20,6
2021-11-01,02,02000,24,34,42,27,108,513,442,70
2021-11-01,03,03101,5,7,2,1,34,95,83,29
2021-11-01,03,03102,2,2,1,1,3,26,26,3
2021-11-01,03,03103,1,3,2,2,3,28,21,1
2021-11-01,03,03151,1,1,3,2,0,12,12,0
2021-11-01,03,03153,3,3,2,1,1,28,28,1
2021-11-01,03,03154,1,1,3,2,4,13,13,4
2021-11-01,03,03155,2,2,0,0,7,13,13,7
2021-11-01,03,03157,1,1,0,0,2,14,14,2
2021-11-01,03,03158,1,1,0,0,6,10,10,6
2021-11-01,03,03159,7,8,9,5,20,105,93,14
2021-11-01,03,03241,16,19,34,27,39,354,304,35
2021-11-01,03,03251,3,3,0,0,1,16,16,1
2021-11-01,03,03252,4,6,2,1,16,60,58,12
2021-11-01,03,03254,4,7,1,0,19,57,47,18
2021-11-01,03,03255,1,1,1,1,2,9,9,2
2021-11-01,03,03256,1,1,0,0,3,11,11,3
2021-11-01,03,03257,1,1,0,0,3,24,24,3
2021-11-01,03,03351,1,2,3,2,3,31,22,2
2021-11-01,03,03352,2,2,0,0,4,8,8,4
2021-11-01,03,03353,3,3,6,2,3,29,29,3
2021-11-01,03,03354,1,1,1,0,1,5,5,1
2021-11-01,03,03355,1,3,1,1,8,37,26,2
2021-11-01,03,03356,2,3,1,0,3,9,9,3
2021-11-01,03,03357,2,3,1,1,5,27,26,2
2021-11-01,03,03358,2,2,0,0,4,14,14,4
2021-11-01,03,03359,2,3,0,0,7,22,22,4
2021-11-01,03,03360,2,2,2,2,4,72,72,4
2021-11-01,03,03361,2,2,1,0,0,15,15,0
2021-11-01,03,03401,1,1,0,0,0,16,16,0
2021-11-01,03,03402,1,1,2,1,7,12,12,7
2021-11-01,03,03403,3,6,13,8,7,108,86,5
