date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-08,01,01001,2,3,1,0,3,38,34,0
2021-11-08,01,01002,3,5,4,4,40,124,123,35
2021-11-08,01,01003,2,2,8,4,21,113,113,21
2021-11-08,01,01004,1,1,0,0,5,20,20,5
2021-11-08,01,01051,1,1,2,0,3,35,35,3
2021-11-08,01,01053,2,2,1,0,6,12,12,6
2021-11-08,01,01054,3,3,3,2,7,17,17,7
2021-11-08,01,01055,3,3,1,0,7,44,44,7
2021-11-08,01,01056,2,2,2,1,2,35,35,2
2021-11-08,01,01057,1,1,0,0,3,9,9,3
2021-11-08,01,01058,3,5,0,0,14,28,25,11
2021-11-08,01,01059,1,1,0,0,3,21,21,3
2021-11-08,01,01060,3,3,1,1,22,63,63,22
2021-11-08,01,01061,1,3,0,0,7,36,27,3
2021-11-08,01,01062,3,3,1,0,8,18,18,8
2021-11-08,02,02000,24,34,47,29,90,515,442,54
2021-11-08,03,03101,5,7,5,2,24,105,91,21
2021-11-08,03,03102,2,2,0,0,4,25,25,4
2021-11-08,03,03103,1,3,2,2,1,28,20,1
2021-11-08,03,03151,1,1,3,1,0,12,12,0
2021-11-08,03,03153,3,3,1,0,2,27,27,2
2021-11-08,03,03154,1,1,2,2,1,16,16,1
2021-11-08,03,03155,2,2,1,1,6,15,15,6
2021-11-08,03,03157,1,1,2,0,3,14,14,3
2021-11-08,03,03158,1,1,2,0,3,13,13,3
2021-11-08,03,03159,7,8,13,9,27,110,95,25
2021-11-08,03,03241,16,19,30,21,50,341,300,39
2021-11-08,03,03251,3,3,1,0,5,12,12,5
2021-11-08,03,03252,4,6,2,0,14,63,63,8
2021-11-08,03,03254,4,7,1,0,23,53,48,17
2021-11-08,03,03255,1,1,3,0,1,8,8,1
2021-11-08,03,03256,1,1,1,0,3,11,11,3
2021-11-08,03,03257,1,1,3,0,8,19,19,8
2021-11-08,03,03351,1,2,3,1,6,26,19,3
2021-11-08,03,03352,2,2,0,0,7,8,8,7
2021-11-08,03,03353,3,3,4,1,5,27,27,5
2021-11-08,03,03354,1,1,1,1,0,6,6,0
2021-11-08,03,03355,1,3,0,0,12,32,16,12
2021-11-08,03,03356,2,3,2,0,1,8,8,1
2021-11-08,03,03357,2,3,1,0,6,26,25,3
2021-11-08,03,03358,2,2,1,0,3,14,14,3
2021-11-08,03,03359,2,3,2,1,9,22,22,6
2021-11-08,03,03360,2,2,3,3,5,71,71,5
2021-11-08,03,03361,2,2,0,0,5,10,10,5
2021-11-08,03,03401,1,1,1,0,0,15,15,0
2021-11-08,03,03402,1,1,1,1,5,14,14,5
2021-11-08,03,03403,3,6,12,9,7,109,92,1
2021-11-08,03,03404,4,5,5,4,14,107,93,12
2021-11-08,03,03405,1,2,4,1,4,27,22,1
2021-11-08,03,03451,2,3,1,0,4,29,29,4
2021-11-08,03,03452,3,4,1,1,4,33,27,2
2021-11-08,03,03453,3,3,4,3,6,18,18,6
2021-11-08,03,03454,6,10,6,0,16,71,54,8
2021-11-08,03,03455,2,2,1,1,5,28,28,5
2021-11-08,03,03456,1,1,0,0,2,25,25,2
2021-11-08,03,03457,4,6,2,0,11,20,18,8
2021-11-08,03,03458,1,1,3,3,0,5,5,0
2021-11-08,03,03459,6,7,5,3,24,68,68,24
2021-11-08,03,03460,3,5,3,3,13,23,21,7
2021-11-08,03,03461,2,2,1,1,4,7,7,4
2021-11-08,03,03462,1,1,0,0,0,8,8,0
2021-11-08,04,04011,8,9,14,10,8,145,131,6
2021-11-08,04,04012,3,4,5,4,12,39,33,8
2021-11-08,05,05111,11,14,26,12,10,287,262,9
2021-11-08,05,05112,9,16,14,4,30,160,136,26
2021-11-08,05,05113,12,15,20,13,41,333,312,33
2021-11-08,05,05114,4,7,9,4,15,71,60,14
2021-11-08,05,05116,4,6,13,5,10,79,72,10
2021-11-08,05,05117,2,2,2,1,4,30,30,4
2021-11-08,05,05119,4,6,5,3,12,60,44,9
