date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-25,01,01001,2,3,2,0,6,36,30,5
2021-11-25,01,01002,3,5,5,5,27,129,127,23
2021-11-25,01,01003,2,2,8,4,10,111,111,10
2021-11-25,01,01004,1,1,2,0,1,24,24,1
2021-11-25,01,01051,1,1,2,1,3,35,35,3
2021-11-25,01,01053,2,2,0,0,5,13,13,5
2021-11-25,01,01054,3,3,1,1,4,20,20,4
2021-11-25,01,01055,3,3,1,1,6,40,40,6
2021-11-25,01,01056,2,2,5,1,3,31,31,3
2021-11-25,01,01057,1,1,2,1,2,10,10,2
2021-11-25,01,01058,3,5,1,1,8,34,29,7
2021-11-25,01,01059,1,1,0,0,0,24,24,0
2021-11-25,01,01060,3,3,3,1,21,64,64,21
2021-11-25,01,01061,1,3,1,1,13,30,21,9
2021-11-25,01,01062,3,3,6,3,6,26,26,6
2021-11-25,02,02000,24,34,53,33,99,516,450,56
2021-11-25,03,03101,5,7,6,2,25,104,95,17
2021-11-25,03,03102,2,2,4,2,2,27,27,2
2021-11-25,03,03103,1,3,8,6,1,28,19,1
2021-11-25,03,03151,1,1,3,3,0,12,12,0
2021-11-25,03,03153,3,3,2,1,3,22,22,3
2021-11-25,03,03154,1,1,1,1,3,14,14,3
2021-11-25,03,03155,2,2,1,0,7,13,13,7
2021-11-25,03,03157,1,1,0,0,3,10,10,3
2021-11-25,03,03158,1,1,3,1,7,9,9,7
2021-11-25,03,03159,7,8,20,16,25,105,91,20
2021-11-25,03,03241,16,19,32,19,37,351,304,27
2021-11-25,03,03251,3,3,1,0,5,12,12,5
2021-11-25,03,03252,4,6,4,3,15,60,58,11
2021-11-25,03,03254,4,7,7,1,16,58,52,11
2021-11-25,03,03255,1,1,4,0,3,8,8,3
2021-11-25,03,03256,1,1,1,0,1,13,13,1
2021-11-25,03,03257,1,1,5,2,0,22,22,0
2021-11-25,03,03351,1,2,6,4,4,26,20,0
2021-11-25,03,03352,2,2,3,1,3,9,9,3
