date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-13,01,01001,2,3,1,0,6,36,32,3
2021-11-13,01,01002,3,5,4,4,37,127,123,35
2021-11-13,01,01003,2,2,8,8,22,111,111,22
2021-11-13,01,01004,1,1,0,0,4,21,21,4
2021-11-13,01,01051,1,1,0,0,1,37,37,1
2021-11-13,01,01053,2,2,1,0,6,12,12,6
2021-11-13,01,01054,3,3,2,2,3,21,21,3
2021-11-13,01,01055,3,3,1,0,9,33,33,9
2021-11-13,01,01056,2,2,1,1,9,28,28,9
2021-11-13,01,01057,1,1,0,0,6,6,6,6
2021-11-13,01,01058,3,5,0,0,10,32,29,7
2021-11-13,01,01059,1,1,0,0,2,22,22,2
2021-11-13,01,01060,3,3,0,0,26,54,54,26
2021-11-13,01,01061,1,3,0,0,13,30,20,10
2021-11-13,01,01062,3,3,1,1,6,24,24,6
2021-11-13,02,02000,24,34,47,29,99,509,437,62
2021-11-13,03,03101,5,7,3,1,25,104,92,20
2021-11-13,03,03102,2,2,0,0,2,27,27,2
2021-11-13,03,03103,1,3,5,4,0,29,21,0
2021-11-13,03,03151,1,1,5,1,0,12,12,0
2021-11-13,03,03153,3,3,2,0,1,26,26,1
2021-11-13,03,03154,1,1,1,1,0,17,17,0
2021-11-13,03,03155,2,2,1,0,4,16,16,4
2021-11-13,03,03157,1,1,2,0,2,12,12,2
2021-11-13,03,03158,1,1,3,0,2,14,14,2
2021-11-13,03,03159,7,8,15,9,13,113,99,11
2021-11-13,03,03241,16,19,28,16,52,339,294,44
2021-11-13,03,03251,3,3,0,0,7,10,10,7
2021-11-13,03,03252,4,6,6,0,12,64,63,7
2021-11-13,03,03254,4,7,0,0,22,54,49,16
2021-11-13,03,03255,1,1,3,1,1,8,8,1
2021-11-13,03,03256,1,1,1,0,4,10,10,4
2021-11-13,03,03257,1,1,1,1,0,23,23,0
2021-11-13,03,03351,1,2,4,3,2,30,22,0
2021-11-13,03,03352,2,2,0,0,3,12,12,3
2021-11-13,03,03353,3,3,2,0,6,26,26,6
2021-11-13,03,03354,1,1,1,1,0,6,6,0
2021-11-13,03,03355,1,3,1,1,12,33,21,7
2021-11-13,03,03356,2,3,2,2,1,9,9,1
2021-11-13,03,03357,2,3,1,0,3,27,26,0
2021-11-13,03,03358,2,2,1,0,6,11,11,6
2021-11-13,03,03359,2,3,3,2,4,28,28,1
2021-11-13,03,03360,2,2,4,3,3,73,73,3
2021-11-13,03,03361,2,2,0,0,3,12,12,3
2021-11-13,03,03401,1,1,0,0,1,15,15,1
2021-11-13,03,03402,1,1,2,1,1,16,16,1
2021-11-13,03,03403,3,6,11,9,7,107,88,4
2021-11-13,03,03404,4,5,9,6,11,107,92,10
2021-11-13,03,03405,1,2,4,2,3,25,18,2
2021-11-13,03,03451,2,3,2,0,4,29,29,4
2021-11-13,03,03452,3,4,2,1,8,28,24,4
2021-11-13,03,03453,3,3,4,2,4,18,18,4
2021-11-13,03,03454,6,10,2,1,18,69,54,10
2021-11-13,03,03455,2,2,3,1,0,31,31,0
2021-11-13,03,03456,1,1,1,0,4,23,23,4
2021-11-13,03,03457,4,6,3,1,10,19,19,5
2021-11-13,03,03458,1,1,1,0,0,3,3,0
2021-11-13,03,03459,6,7,3,2,15,73,73,15
2021-11-13,03,03460,3,5,4,3,12,24,21,7
2021-11-13,03,03461,2,2,1,1,2,8,8,2
2021-11-13,03,03462,1,1,0,0,0,8,8,0
2021-11-13,04,04011,8,9,13,9,7,128,116,3
2021-11-13,04,04012,3,4,6,4,6,42,33,6
2021-11-13,05,05111,11,14,20,10,15,282,258,13
2021-11-13,05,05112,9,16,15,8,19,166,145,12
2021-11-13,05,05113,12,15,22,18,35,334,315,25
2021-11-13,05,05114,4,7,7,4,14,70,60,12
2021-11-13,05,05116,4,6,18,8,4,85,78,4
2021-11-13,05,05117,2,2,1,0,5,27,27,5
2021-11-13,05,05119,4,6,6,1,8,65,51,3
2021-11-13,05,05120,1,1,2,0,2,24,24,2
2021-11-13,05,05122,3,4,4,3,14,58,56,12
2021-11-13,05,05124,5,7,10,6,19,131,121,15
2021-11-13,05,05154,5,8,9,3,11,57,56,4
2021-11-13,05,05158,6,6,4,1,11,48,48,11
2021-11-13,05,05162,5,7,7,3,9,90,79,6
2021-11-13,05,05166,4,4,2,0,1,31,31,1
2021-11-13,05,05170,8,11,14,5,28,97,93,23
2021-11-13,05,05314,11,18,23,15,14,271,211,12
2021-11-13,05,05315,18,30,47,24,21,379,321,20
2021-11-13,05,05316,2,5,5,4,11,58,40,11
2021-11-13,05,05334,7,13,16,14,17,267,250,14
2021-11-13,05,05358,4,6,6,1,9,50,45,6
2021-11-13,05,05362,6,6,5,1,8,52,52,8
2021-11-13,05,05366,3,3,5,4,7,21,21,7
2021-11-13,05,05370,3,3,8,4,7,33,33,7
2021-11-13,05,05374,6,6,10,2,13,67,67,13
2021-11-13,05,05378,4,4,2,1,7,31,31,7
2021-11-13,05,05382,6,7,10,1,8,77,65,8
2021-11-13,05,05512,2,2,3,2,11,32,32,11
2021-11-13,05,05513,4,7,9,4,24,74,61,11
2021-11-13,05,05515,7,9,8,7,8,195,183,6
2021-11-13,05,05554,5,6,2,1,16,50,49,16
2021-11-13,05,05558,3,5,1,1,9,23,13,9
2021-11-13,05,05562,14,15,27,4,33,190,164,27
2021-11-13,05,05566,5,7,5,2,16,90,75,16
2021-11-13,05,05570,5,6,6,2,8,39,39,6
2021-11-13,05,05711,4,6,13,4,10,128,104,6
2021-11-13,05,05754,4,4,3,2,12,42,42,12
2021-11-13,05,05758,3,5,6,3,6,48,40,4
2021-11-13,05,05762,5,6,3,2,10,25,21,10
2021-11-13,05,05766,2,2,11,4,3,47,47,3
2021-11-13,05,05770,6,9,19,9,18,188,166,15
2021-11-13,05,05774,5,7,10,9,15,70,61,9
2021-11-13,05,05911,6,8,17,11,16,173,157,11
2021-11-13,05,05913,9,9,12,8,19,267,267,19
2021-11-13,05,05914,4,6,3,1,18,52,48,12
2021-11-13,05,05915,5,7,4,2,27,68,55,18
2021-11-13,05,05916,4,4,7,4,6,56,56,6
2021-11-13,05,05954,6,8,6,3,13,111,75,6
2021-11-13,05,05958,9,10,4,2,17,71,67,17
2021-11-13,05,05962,8,10,12,7,17,89,87,11
2021-11-13,05,05966,3,3,0,0,7,19,19,7
2021-11-13,05,05970,5,5,5,4,11,91,91,11
2021-11-13,05,05974,7,9,5,1,23,68,64,11
2021-11-13,05,05978,8,8,5,2,10,94,94,10
2021-11-13,06,06411,4,7,9,7,16,81,43,5
2021-11-13,06,06412,12,17,39,17,35,255,227,31
2021-11-13,06,06413,2,4,16,12,10,92,86,8
2021-11-13,06,06414,4,6,17,8,7,95,83,7
2021-11-13,06,06431,5,5,4,2,4,35,35,4
2021-11-13,06,06432,2,2,11,9,0,25,25,0
2021-11-13,06,06433,2,2,8,1,1,22,22,1
2021-11-13,06,06434,2,2,3,2,1,23,23,1
2021-11-13,06,06435,4,7,11,5,11,72,64,5
2021-11-13,06,06436,2,2,4,1,1,25,25,1
2021-11-13,06,06437,2,2,3,2,1,125,125,1
