date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-16,01,01001,2,3,1,0,10,32,28,7
2021-11-16,01,01002,3,5,4,4,34,130,127,31
2021-11-16,01,01003,2,2,9,8,22,112,112,22
2021-11-16,01,01004,1,1,0,0,2,23,23,2
2021-11-16,01,01051,1,1,2,1,2,36,36,2
2021-11-16,01,01053,2,2,1,0,4,14,14,4
2021-11-16,01,01054,3,3,3,2,9,15,15,9
2021-11-16,01,01055,3,3,1,0,11,37,37,11
2021-11-16,01,01056,2,2,1,1,0,34,34,0
2021-11-16,01,01057,1,1,0,0,2,10,10,2
2021-11-16,01,01058,3,5,0,0,16,26,22,14
2021-11-16,01,01059,1,1,0,0,4,20,20,4
2021-11-16,01,01060,3,3,2,2,19,66,66,19
2021-11-16,01,01061,1,3,0,0,11,32,22,8
2021-11-16,01,01062,3,3,1,1,7,24,24,7
2021-11-16,02,02000,24,34,49,27,97,517,441,64
2021-11-16,03,03101,5,7,3,1,24,105,93,19
2021-11-16,03,03102,2,2,1,0,3,26,26,3
2021-11-16,03,03103,1,3,6,5,2,30,22,1
2021-11-16,03,03151,1,1,6,2,0,12,12,0
2021-11-16,03,03153,3,3,3,1,2,22,22,2
2021-11-16,03,03154,1,1,1,1,1,16,16,1
2021-11-16,03,03155,2,2,2,0,3,17,17,3
2021-11-16,03,03157,1,1,1,0,3,11,11,3
2021-11-16,03,03158,1,1,2,0,4,12,12,4
2021-11-16,03,03159,7,8,14,7,25,111,97,17
2021-11-16,03,03241,16,19,29,17,40,361,314,28
2021-11-16,03,03251,3,3,0,0,5,12,12,5
2021-11-16,03,03252,4,6,5,0,14,60,59,9
2021-11-16,03,03254,4,7,2,1,16,60,51,14
2021-11-16,03,03255,1,1,2,1,1,8,8,1
2021-11-16,03,03256,1,1,0,0,1,13,13,1
2021-11-16,03,03257,1,1,1,1,4,23,23,4
2021-11-16,03,03351,1,2,6,2,8,30,22,6
2021-11-16,03,03352,2,2,0,0,6,9,9,6
2021-11-16,03,03353,3,3,3,1,3,29,29,3
2021-11-16,03,03354,1,1,2,2,0,7,7,0
2021-11-16,03,03355,1,3,0,0,8,36,21,7
2021-11-16,03,03356,2,3,3,2,2,9,9,2
2021-11-16,03,03357,2,3,0,0,9,21,20,6
2021-11-16,03,03358,2,2,1,0,8,12,12,8
2021-11-16,03,03359,2,3,2,1,9,22,22,6
2021-11-16,03,03360,2,2,4,3,4,72,72,4
2021-11-16,03,03361,2,2,1,0,5,10,10,5
2021-11-16,03,03401,1,1,1,0,0,16,16,0
2021-11-16,03,03402,1,1,2,1,6,13,13,6
2021-11-16,03,03403,3,6,11,9,11,106,87,7
2021-11-16,03,03404,4,5,12,7,14,105,93,10
2021-11-16,03,03405,1,2,3,2,5,24,18,3
2021-11-16,03,03451,2,3,2,0,6,27,27,6
2021-11-16,03,03452,3,4,2,2,14,23,21,8
2021-11-16,03,03453,3,3,5,3,6,18,18,6
2021-11-16,03,03454,6,10,2,2,18,65,56,7
2021-11-16,03,03455,2,2,2,1,7,24,24,7
2021-11-16,03,03456,1,1,0,0,4,23,23,4
2021-11-16,03,03457,4,6,2,1,10,21,21,5
2021-11-16,03,03458,1,1,0,0,0,5,5,0
2021-11-16,03,03459,6,7,5,3,12,78,78,12
2021-11-16,03,03460,3,5,5,2,5,31,25,3
2021-11-16,03,03461,2,2,1,1,5,6,6,5
2021-11-16,03,03462,1,1,0,0,1,7,7,1
2021-11-16,04,04011,8,9,15,11,12,145,135,6
2021-11-16,04,04012,3,4,5,4,1,47,38,1
2021-11-16,05,05111,11,14,21,13,25,275,250,24
2021-11-16,05,05112,9,16,19,6,23,163,143,15
2021-11-16,05,05113,12,15,33,22,20,350,328,13
2021-11-16,05,05114,4,7,10,4,16,68,59,13
2021-11-16,05,05116,4,6,17,7,6,83,76,6
2021-11-16,05,05117,2,2,1,0,4,30,30,4
2021-11-16,05,05119,4,6,6,4,8,62,49,2
2021-11-16,05,05120,1,1,3,1,2,24,24,2
2021-11-16,05,05122,3,4,8,6,6,66,62,6
2021-11-16,05,05124,5,7,10,5,17,131,121,13
2021-11-16,05,05154,5,8,8,1,10,58,57,4
2021-11-16,05,05158,6,6,4,2,13,50,50,13
2021-11-16,05,05162,5,7,7,3,6,95,84,3
2021-11-16,05,05166,4,4,3,0,2,32,32,2
