date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-22,01,01001,2,3,1,0,2,40,34,1
2021-11-22,01,01002,3,5,4,4,41,121,119,37
2021-11-22,01,01003,2,2,8,4,19,113,113,19
2021-11-22,01,01004,1,1,2,0,1,24,24,1
2021-11-22,01,01051,1,1,1,1,2,36,36,2
2021-11-22,01,01053,2,2,0,0,5,12,12,5
2021-11-22,01,01054,3,3,1,1,7,17,17,7
2021-11-22,01,01055,3,3,2,1,8,37,37,8
2021-11-22,01,01056,2,2,4,1,1,34,34,1
2021-11-22,01,01057,1,1,2,1,2,10,10,2
2021-11-22,01,01058,3,5,1,0,14,28,25,11
2021-11-22,01,01059,1,1,1,0,2,22,22,2
2021-11-22,01,01060,3,3,4,2,20,65,65,20
2021-11-22,01,01061,1,3,2,1,11,28,21,5
2021-11-22,01,01062,3,3,3,3,9,23,23,9
2021-11-22,02,02000,24,34,54,30,113,499,435,68
2021-11-22,03,03101,5,7,6,3,31,98,87,25
2021-11-22,03,03102,2,2,3,1,3,26,26,3
2021-11-22,03,03103,1,3,8,6,3,24,17,1
2021-11-22,03,03151,1,1,6,2,0,12,12,0
2021-11-22,03,03153,3,3,3,1,2,23,23,2
2021-11-22,03,03154,1,1,2,1,0,17,17,0
2021-11-22,03,03155,2,2,2,0,6,13,13,6
2021-11-22,03,03157,1,1,0,0,4,12,12,4
2021-11-22,03,03158,1,1,2,1,6,10,10,6
2021-11-22,03,03159,7,8,16,13,15,113,100,11
2021-11-22,03,03241,16,19,34,15,50,348,300,42
2021-11-22,03,03251,3,3,0,0,3,14,14,3
2021-11-22,03,03252,4,6,0,0,22,54,52,18
2021-11-22,03,03254,4,7,5,1,16,58,50,13
2021-11-22,03,03255,1,1,3,1,2,9,9,2
2021-11-22,03,03256,1,1,0,0,4,10,10,4
2021-11-22,03,03257,1,1,4,2,4,19,19,4
2021-11-22,03,03351,1,2,6,3,4,26,20,0
2021-11-22,03,03352,2,2,3,0,2,13,13,2
2021-11-22,03,03353,3,3,2,1,9,23,23,9
2021-11-22,03,03354,1,1,0,0,0,6,6,0
2021-11-22,03,03355,1,3,0,0,10,33,21,5
2021-11-22,03,03356,2,3,2,1,4,7,7,4
2021-11-22,03,03357,2,3,3,0,6,24,22,4
2021-11-22,03,03358,2,2,1,0,6,14,14,6
2021-11-22,03,03359,2,3,2,0,8,23,23,5
2021-11-22,03,03360,2,2,2,2,4,72,72,4
2021-11-22,03,03361,2,2,3,1,2,11,11,2
2021-11-22,03,03401,1,1,1,0,0,16,16,0
2021-11-22,03,03402,1,1,1,1,7,11,11,7
2021-11-22,03,03403,3,6,13,10,8,110,89,4
2021-11-22,03,03404,4,5,11,8,15,104,89,14
2021-11-22,03,03405,1,2,4,3,7,21,18,2
2021-11-22,03,03451,2,3,3,1,7,26,26,7
2021-11-22,03,03452,3,4,2,1,13,24,22,7
2021-11-22,03,03453,3,3,4,2,3,20,20,3
2021-11-22,03,03454,6,10,4,2,21,63,54,10
2021-11-22,03,03455,2,2,5,1,9,22,22,9
2021-11-22,03,03456,1,1,2,0,7,20,20,7
2021-11-22,03,03457,4,6,1,0,14,17,17,9
2021-11-22,03,03458,1,1,0,0,0,5,5,0
2021-11-22,03,03459,6,7,8,4,22,69,69,22
2021-11-22,03,03460,3,5,2,1,8,28,23,5
2021-11-22,03,03461,2,2,1,1,4,9,9,4
2021-11-22,03,03462,1,1,0,0,0,8,8,0
2021-11-22,04,04011,8,9,16,12,8,141,125,8
2021-11-22,04,04012,3,4,5,4,9,41,34,2
2021-11-22,05,05111,11,14,25,12,16,282,256,16
2021-11-22,05,05112,9,16,20,9,21,154,133,13
2021-11-22,05,05113,12,15,32,19,40,330,309,33
2021-11-22,05,05114,4,7,6,5,14,70,59,13
2021-11-22,05,05116,4,6,16,7,13,76,69,13
2021-11-22,05,05117,2,2,4,0,4,32,32,4
2021-11-22,05,05119,4,6,5,2,19,50,35,15
2021-11-22,05,05120,1,1,2,1,5,21,21,5
2021-11-22,05,05122,3,4,12,7,9,63,62,6
2021-11-22,05,05124,5,7,8,6,26,120,110,22
2021-11-22,05,05154,5,8,6,0,15,51,50,9
2021-11-22,05,05158,6,6,7,3,17,42,42,17
2021-11-22,05,05162,5,7,7,5,16,85,74,13
2021-11-22,05,05166,4,4,2,1,1,33,33,1
2021-11-22,05,05170,8,11,15,5,24,102,95,20
2021-11-22,05,05314,11,18,21,17,12,270,216,6
