date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-12,01,01001,2,3,0,0,7,35,31,4
2021-11-12,01,01002,3,5,4,3,38,126,122,36
2021-11-12,01,01003,2,2,8,5,21,113,113,21
2021-11-12,01,01004,1,1,0,0,1,24,24,1
2021-11-12,01,01051,1,1,0,0,2,36,36,2
2021-11-12,01,01053,2,2,1,0,2,16,16,2
2021-11-12,01,01054,3,3,3,2,1,23,23,1
2021-11-12,01,01055,3,3,1,0,7,35,35,7
2021-11-12,01,01056,2,2,2,2,2,35,35,2
2021-11-12,01,01057,1,1,0,0,1,11,11,1
2021-11-12,01,01058,3,5,0,0,13,29,26,10
2021-11-12,01,01059,1,1,0,0,1,23,23,1
2021-11-12,01,01060,3,3,1,1,24,56,56,24
2021-11-12,01,01061,1,3,0,0,11,32,21,9
2021-11-12,01,01062,3,3,1,1,3,27,27,3
2021-11-12,02,02000,24,34,48,32,110,499,427,73
2021-11-12,03,03101,5,7,3,1,23,106,93,19
2021-11-12,03,03102,2,2,0,0,3,26,26,3
2021-11-12,03,03103,1,3,4,4,0,30,22,0
2021-11-12,03,03151,1,1,5,2,0,12,12,0
2021-11-12,03,03153,3,3,2,0,3,24,24,3
2021-11-12,03,03154,1,1,2,1,0,17,17,0
2021-11-12,03,03155,2,2,1,0,4,14,14,4
2021-11-12,03,03157,1,1,2,0,0,12,12,0
2021-11-12,03,03158,1,1,1,0,4,12,12,4
2021-11-12,03,03159,7,8,12,9,21,115,103,11
2021-11-12,03,03241,16,19,29,17,46,358,312,37
2021-11-12,03,03251,3,3,0,0,2,15,15,2
2021-11-12,03,03252,4,6,4,0,15,59,59,9
2021-11-12,03,03254,4,7,0,0,19,58,53,13
2021-11-12,03,03255,1,1,3,1,0,9,9,0
2021-11-12,03,03256,1,1,1,0,3,11,11,3
2021-11-12,03,03257,1,1,1,1,0,23,23,0
2021-11-12,03,03351,1,2,4,3,1,31,22,0
2021-11-12,03,03352,2,2,0,0,1,11,11,1
2021-11-12,03,03353,3,3,3,0,2,30,30,2
2021-11-12,03,03354,1,1,1,1,0,6,6,0
2021-11-12,03,03355,1,3,1,0,11,34,22,6
2021-11-12,03,03356,2,3,2,1,1,10,10,1
2021-11-12,03,03357,2,3,2,0,6,24,23,3
2021-11-12,03,03358,2,2,1,0,2,15,15,2
2021-11-12,03,03359,2,3,4,3,7,24,24,4
2021-11-12,03,03360,2,2,4,3,2,74,74,2
2021-11-12,03,03361,2,2,0,0,3,12,12,3
2021-11-12,03,03401,1,1,0,0,0,16,16,0
2021-11-12,03,03402,1,1,2,1,3,16,16,3
2021-11-12,03,03403,3,6,11,9,10,104,88,4
2021-11-12,03,03404,4,5,8,6,21,95,81,19
2021-11-12,03,03405,1,2,4,2,6,24,17,5
2021-11-12,03,03451,2,3,2,0,4,29,29,4
2021-11-12,03,03452,3,4,2,1,8,29,26,3
2021-11-12,03,03453,3,3,5,2,4,20,20,4
2021-11-12,03,03454,6,10,2,0,18,68,54,10
2021-11-12,03,03455,2,2,3,1,1,30,30,1
2021-11-12,03,03456,1,1,0,0,6,21,21,6
2021-11-12,03,03457,4,6,3,1,11,20,20,6
2021-11-12,03,03458,1,1,1,0,0,4,4,0
2021-11-12,03,03459,6,7,4,2,19,67,67,19
2021-11-12,03,03460,3,5,3,3,10,26,23,5
2021-11-12,03,03461,2,2,1,1,1,11,11,1
2021-11-12,03,03462,1,1,0,0,0,8,8,0
2021-11-12,04,04011,8,9,14,9,8,146,134,4
2021-11-12,04,04012,3,4,6,4,4,43,34,4
2021-11-12,05,05111,11,14,24,13,22,276,254,18
2021-11-12,05,05112,9,16,14,8,20,166,144,13
2021-11-12,05,05113,12,15,21,16,37,331,312,28
2021-11-12,05,05114,4,7,8,4,18,68,60,14
2021-11-12,05,05116,4,6,17,9,8,81,74,8
2021-11-12,05,05117,2,2,0,0,3,31,31,3
2021-11-12,05,05119,4,6,5,2,8,65,52,2
2021-11-12,05,05120,1,1,2,0,2,24,24,2
2021-11-12,05,05122,3,4,4,3,14,58,56,12
2021-11-12,05,05124,5,7,11,7,19,131,121,15
2021-11-12,05,05154,5,8,8,2,13,56,55,6
2021-11-12,05,05158,6,6,3,1,11,48,48,11
2021-11-12,05,05162,5,7,7,3,12,89,78,9
2021-11-12,05,05166,4,4,2,0,5,27,27,5
2021-11-12,05,05170,8,11,11,5,23,100,95,19
2021-11-12,05,05314,11,17,24,14,8,268,220,4
2021-11-12,05,05315,18,29,43,22,19,365,307,18
2021-11-12,05,05316,2,5,4,4,8,61,43,8
2021-11-12,05,05334,7,13,15,12,17,267,250,14
2021-11-12,05,05358,4,6,5,1,10,51,46,7
2021-11-12,05,05362,6,6,5,1,8,49,49,8
2021-11-12,05,05366,3,3,6,4,2,26,26,2
2021-11-12,05,05370,3,3,8,3,8,32,32,8
2021-11-12,05,05374,6,6,8,2,14,66,66,14
2021-11-12,05,05378,4,4,3,2,3,35,35,3
2021-11-12,05,05382,6,7,8,1,4,81,69,4
2021-11-12,05,05512,2,2,2,2,15,28,28,15
2021-11-12,05,05513,4,7,11,5,18,80,69,3
2021-11-12,05,05515,7,9,8,7,9,199,185,7
2021-11-12,05,05554,5,6,2,1,15,52,52,13
2021-11-12,05,05558,3,5,2,1,11,20,10,11
2021-11-12,05,05562,14,15,27,4,21,200,174,15
2021-11-12,05,05566,5,7,5,2,21,85,70,21
2021-11-12,05,05570,5,6,6,2,6,41,41,4
2021-11-12,05,05711,4,6,10,5,11,127,103,7
2021-11-12,05,05754,4,4,4,1,11,43,43,11
2021-11-12,05,05758,3,5,6,3,5,49,41,3
2021-11-12,05,05762,5,6,3,2,11,24,20,11
2021-11-12,05,05766,2,2,11,3,3,47,47,3
2021-11-12,05,05770,6,9,17,10,14,196,174,11
2021-11-12,05,05774,5,7,10,8,15,70,61,9
2021-11-12,05,05911,6,8,17,12,24,165,149,19
2021-11-12,05,05913,9,9,14,8,31,254,254,31
2021-11-12,05,05914,4,6,2,1,12,60,57,5
2021-11-12,05,05915,5,7,3,1,26,71,58,17
2021-11-12,05,05916,4,4,7,4,6,58,58,6
2021-11-12,05,05954,6,8,6,3,23,111,75,16
2021-11-12,05,05958,9,10,4,2,18,67,63,18
2021-11-12,05,05962,8,10,12,7,17,88,87,10
2021-11-12,05,05966,3,3,0,0,9,19,19,9
2021-11-12,05,05970,5,5,5,4,11,91,91,11
2021-11-12,05,05974,7,9,8,1,15,76,70,5
2021-11-12,05,05978,8,8,5,3,10,94,94,10
