date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-06,01,01001,2,3,2,1,4,37,32,2
2021-11-06,01,01002,3,5,5,4,47,117,116,42
2021-11-06,01,01003,2,2,7,4,25,109,109,25
2021-11-06,01,01004,1,1,0,0,1,24,24,1
2021-11-06,01,01051,1,1,2,0,11,27,27,11
2021-11-06,01,01053,2,2,0,0,5,13,13,5
2021-11-06,01,01054,3,3,4,2,6,18,18,6
2021-11-06,01,01055,3,3,0,0,11,40,40,11
2021-11-06,01,01056,2,2,2,1,6,31,31,6
2021-11-06,01,01057,1,1,0,0,5,7,7,5
2021-11-06,01,01058,3,5,0,0,13,29,25,11
2021-11-06,01,01059,1,1,0,0,1,23,23,1
2021-11-06,01,01060,3,3,1,1,30,50,50,30
2021-11-06,01,01061,1,3,0,0,7,36,27,3
2021-11-06,01,01062,3,3,0,0,10,16,16,10
2021-11-06,02,02000,24,34,50,30,83,520,444,50
2021-11-06,03,03101,5,7,5,3,25,102,89,21
2021-11-06,03,03102,2,2,1,1,3,26,26,3
2021-11-06,03,03103,1,3,2,2,1,29,21,1
2021-11-06,03,03151,1,1,2,1,0,12,12,0
2021-11-06,03,03153,3,3,2,1,3,26,26,3
2021-11-06,03,03154,1,1,2,2,3,14,14,3
2021-11-06,03,03155,2,2,2,2,3,18,18,3
2021-11-06,03,03157,1,1,2,0,2,12,12,2
2021-11-06,03,03158,1,1,1,0,3,13,13,3
2021-11-06,03,03159,7,8,12,8,14,109,97,11
2021-11-06,03,03241,16,19,34,23,34,353,310,27
2021-11-06,03,03251,3,3,1,0,3,14,14,3
2021-11-06,03,03252,4,6,5,1,11,65,62,8
2021-11-06,03,03254,4,7,1,0,16,61,56,10
2021-11-06,03,03255,1,1,3,0,2,7,7,2
2021-11-06,03,03256,1,1,2,1,7,7,7,7
2021-11-06,03,03257,1,1,2,0,7,20,20,7
2021-11-06,03,03351,1,2,3,2,8,24,18,4
2021-11-06,03,03352,2,2,0,0,7,8,8,7
2021-11-06,03,03353,3,3,5,0,6,26,26,6
2021-11-06,03,03354,1,1,1,1,2,4,4,2
2021-11-06,03,03355,1,3,0,0,14,31,16,12
2021-11-06,03,03356,2,3,2,0,1,8,8,1
2021-11-06,03,03357,2,3,1,0,6,26,25,3
2021-11-06,03,03358,2,2,2,0,3,14,14,3
