date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-10,01,01001,2,3,0,0,5,37,33,2
2021-11-10,01,01002,3,5,4,3,33,131,127,31
2021-11-10,01,01003,2,2,9,5,19,115,115,19
2021-11-10,01,01004,1,1,0,0,1,24,24,1
2021-11-10,01,01051,1,1,0,0,4,34,34,4
2021-11-10,01,01053,2,2,1,0,2,16,16,2
2021-11-10,01,01054,3,3,4,3,1,23,23,1
2021-11-10,01,01055,3,3,1,0,9,42,42,9
2021-11-10,01,01056,2,2,2,2,6,31,31,6
2021-11-10,01,01057,1,1,0,0,2,10,10,2
2021-11-10,01,01058,3,5,0,0,11,31,29,7
2021-11-10,01,01059,1,1,0,0,1,23,23,1
2021-11-10,01,01060,3,3,1,1,27,58,58,27
2021-11-10,01,01061,1,3,0,0,8,35,24,6
2021-11-10,01,01062,3,3,1,0,6,24,24,6
2021-11-10,02,02000,24,34,48,31,99,519,447,62
2021-11-10,03,03101,5,7,4,1,17,112,100,12
2021-11-10,03,03102,2,2,0,0,4,25,25,4
2021-11-10,03,03103,1,3,3,3,0,29,21,0
2021-11-10,03,03151,1,1,4,2,0,12,12,0
2021-11-10,03,03153,3,3,2,0,2,25,25,2
2021-11-10,03,03154,1,1,2,2,1,16,16,1
2021-11-10,03,03155,2,2,1,1,8,12,12,8
2021-11-10,03,03157,1,1,1,0,0,12,12,0
2021-11-10,03,03158,1,1,2,0,2,14,14,2
2021-11-10,03,03159,7,8,12,9,37,112,98,29
2021-11-10,03,03241,16,19,29,21,44,353,308,33
2021-11-10,03,03251,3,3,0,0,2,17,17,2
2021-11-10,03,03252,4,6,4,0,12,65,65,6
2021-11-10,03,03254,4,7,0,0,17,59,53,12
2021-11-10,03,03255,1,1,3,0,0,9,9,0
2021-11-10,03,03256,1,1,0,0,2,12,12,2
2021-11-10,03,03257,1,1,1,0,7,20,20,7
2021-11-10,03,03351,1,2,2,2,2,30,22,0
2021-11-10,03,03352,2,2,0,0,7,8,8,7
2021-11-10,03,03353,3,3,3,0,1,31,31,1
2021-11-10,03,03354,1,1,1,1,0,6,6,0
2021-11-10,03,03355,1,3,1,0,11,34,19,9
2021-11-10,03,03356,2,3,2,0,1,10,10,1
2021-11-10,03,03357,2,3,2,0,6,26,25,3
