date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-07,01,01001,2,3,2,1,4,37,32,2
2021-11-07,01,01002,3,5,4,4,46,118,117,41
2021-11-07,01,01003,2,2,7,4,29,105,105,29
2021-11-07,01,01004,1,1,0,0,1,24,24,1
2021-11-07,01,01051,1,1,2,0,3,35,35,3
2021-11-07,01,01053,2,2,1,0,6,12,12,6
2021-11-07,01,01054,3,3,3,2,9,15,15,9
2021-11-07,01,01055,3,3,0,0,10,41,41,10
2021-11-07,01,01056,2,2,2,1,5,32,32,5
2021-11-07,01,01057,1,1,0,0,5,7,7,5
2021-11-07,01,01058,3,5,0,0,9,33,28,8
2021-11-07,01,01059,1,1,0,0,6,18,18,6
2021-11-07,01,01060,3,3,1,1,31,49,49,31
2021-11-07,01,01061,1,3,0,0,6,37,27,3
2021-11-07,01,01062,3,3,0,0,8,18,18,8
2021-11-07,02,02000,24,34,48,30,93,502,428,58
2021-11-07,03,03101,5,7,5,3,27,101,87,24
2021-11-07,03,03102,2,2,1,1,4,25,25,4
2021-11-07,03,03103,1,3,2,2,2,28,20,2
2021-11-07,03,03151,1,1,3,1,1,11,11,1
2021-11-07,03,03153,3,3,1,0,3,26,26,3
2021-11-07,03,03154,1,1,2,2,1,16,16,1
2021-11-07,03,03155,2,2,2,2,4,17,17,4
2021-11-07,03,03157,1,1,2,0,1,13,13,1
2021-11-07,03,03158,1,1,1,0,4,12,12,4
2021-11-07,03,03159,7,8,14,8,15,111,98,11
2021-11-07,03,03241,16,19,32,23,40,338,295,33
2021-11-07,03,03251,3,3,1,0,2,15,15,2
2021-11-07,03,03252,4,6,2,0,13,63,61,9
2021-11-07,03,03254,4,7,1,0,24,53,48,18
2021-11-07,03,03255,1,1,3,0,0,9,9,0
2021-11-07,03,03256,1,1,2,1,4,10,10,4
2021-11-07,03,03257,1,1,2,0,9,18,18,9
2021-11-07,03,03351,1,2,3,2,4,28,21,1
2021-11-07,03,03352,2,2,0,0,7,8,8,7
2021-11-07,03,03353,3,3,5,0,4,28,28,4
2021-11-07,03,03354,1,1,1,1,2,4,4,2
2021-11-07,03,03355,1,3,0,0,12,33,18,10
2021-11-07,03,03356,2,3,2,0,1,8,8,1
2021-11-07,03,03357,2,3,1,0,5,27,26,2
2021-11-07,03,03358,2,2,1,0,3,14,14,3
2021-11-07,03,03359,2,3,2,1,3,25,25,0
2021-11-07,03,03360,2,2,3,2,2,74,74,2
2021-11-07,03,03361,2,2,0,0,4,11,11,4
2021-11-07,03,03401,1,1,1,0,1,15,15,1
2021-11-07,03,03402,1,1,1,1,0,19,19,0
2021-11-07,03,03403,3,6,14,10,11,101,84,7
2021-11-07,03,03404,4,5,8,3,7,112,96,7
