date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-15,01,01001,2,3,1,0,10,32,28,7
2021-11-15,01,01002,3,5,4,4,41,123,121,37
2021-11-15,01,01003,2,2,10,9,22,112,112,22
2021-11-15,01,01004,1,1,0,0,2,23,23,2
2021-11-15,01,01051,1,1,2,1,2,36,36,2
2021-11-15,01,01053,2,2,2,1,4,14,14,4
2021-11-15,01,01054,3,3,2,2,7,17,17,7
2021-11-15,01,01055,3,3,1,0,5,38,38,5
2021-11-15,01,01056,2,2,1,1,2,31,31,2
2021-11-15,01,01057,1,1,0,0,3,9,9,3
2021-11-15,01,01058,3,5,0,0,15,27,23,13
2021-11-15,01,01059,1,1,0,0,2,22,22,2
2021-11-15,01,01060,3,3,2,1,18,67,67,18
2021-11-15,01,01061,1,3,0,0,7,36,26,4
2021-11-15,01,01062,3,3,1,1,7,21,21,7
2021-11-15,02,02000,24,34,49,28,93,524,446,62
2021-11-15,03,03101,5,7,3,1,27,102,91,21
2021-11-15,03,03102,2,2,1,0,1,28,28,1
2021-11-15,03,03103,1,3,5,4,5,27,18,5
2021-11-15,03,03151,1,1,4,3,0,12,12,0
2021-11-15,03,03153,3,3,3,0,3,21,21,3
2021-11-15,03,03154,1,1,1,1,1,16,16,1
2021-11-15,03,03155,2,2,2,0,5,15,15,5
2021-11-15,03,03157,1,1,2,0,3,11,11,3
2021-11-15,03,03158,1,1,3,0,4,12,12,4
2021-11-15,03,03159,7,8,13,8,32,103,92,21
2021-11-15,03,03241,16,19,26,17,44,344,301,32
2021-11-15,03,03251,3,3,0,0,4,13,13,4
2021-11-15,03,03252,4,6,6,0,13,61,60,8
2021-11-15,03,03254,4,7,1,1,17,59,50,15
2021-11-15,03,03255,1,1,3,1,0,9,9,0
2021-11-15,03,03256,1,1,1,0,1,13,13,1
2021-11-15,03,03257,1,1,1,1,2,21,21,2
2021-11-15,03,03351,1,2,5,1,3,29,21,1
2021-11-15,03,03352,2,2,0,0,6,9,9,6
2021-11-15,03,03353,3,3,3,1,3,29,29,3
2021-11-15,03,03354,1,1,2,2,0,7,7,0
2021-11-15,03,03355,1,3,0,0,6,39,24,4
2021-11-15,03,03356,2,3,3,2,0,10,10,0
2021-11-15,03,03357,2,3,0,0,8,22,21,5
2021-11-15,03,03358,2,2,1,0,6,14,14,6
2021-11-15,03,03359,2,3,2,1,6,23,23,3
2021-11-15,03,03360,2,2,4,3,4,72,72,4
2021-11-15,03,03361,2,2,0,0,2,13,13,2
2021-11-15,03,03401,1,1,0,0,0,16,16,0
2021-11-15,03,03402,1,1,2,1,7,8,8,7
2021-11-15,03,03403,3,6,11,8,11,106,88,7
2021-11-15,03,03404,4,5,10,5,15,104,92,11
2021-11-15,03,03405,1,2,4,2,6,23,17,4
2021-11-15,03,03451,2,3,2,0,6,27,27,6
2021-11-15,03,03452,3,4,2,2,15,22,20,9
2021-11-15,03,03453,3,3,3,2,7,17,17,7
2021-11-15,03,03454,6,10,2,2,17,66,54,9
2021-11-15,03,03455,2,2,3,1,4,27,27,4
2021-11-15,03,03456,1,1,0,0,4,23,23,4
2021-11-15,03,03457,4,6,3,1,14,17,17,9
2021-11-15,03,03458,1,1,0,0,1,2,2,1
2021-11-15,03,03459,6,7,4,3,16,61,61,16
2021-11-15,03,03460,3,5,5,3,9,27,23,5
2021-11-15,03,03461,2,2,1,1,1,9,9,1
2021-11-15,03,03462,1,1,0,0,0,8,8,0
2021-11-15,04,04011,8,9,15,11,10,143,130,7
2021-11-15,04,04012,3,4,6,5,1,46,37,1
2021-11-15,05,05111,11,14,21,12,29,270,248,25
2021-11-15,05,05112,9,16,21,8,25,161,142,16
2021-11-15,05,05113,12,15,27,20,20,353,331,14
2021-11-15,05,05114,4,7,7,5,13,73,63,11
2021-11-15,05,05116,4,6,18,8,7,82,75,7
2021-11-15,05,05117,2,2,1,0,6,30,30,6
2021-11-15,05,05119,4,6,7,3,4,67,52,0
2021-11-15,05,05120,1,1,3,1,2,24,24,2
2021-11-15,05,05122,3,4,8,6,12,60,56,12
2021-11-15,05,05124,5,7,9,6,22,126,116,18
2021-11-15,05,05154,5,8,6,1,16,55,54,10
2021-11-15,05,05158,6,6,3,2,14,47,47,14
2021-11-15,05,05162,5,7,7,3,12,87,76,9
2021-11-15,05,05166,4,4,4,0,2,32,32,2
2021-11-15,05,05170,8,11,18,6,19,101,99,12
2021-11-15,05,05314,11,18,24,16,12,276,216,10
2021-11-15,05,05315,18,30,48,23,25,362,306,22
2021-11-15,05,05316,2,5,5,4,8,61,44,7
2021-11-15,05,05334,7,13,15,14,16,267,251,13
2021-11-15,05,05358,4,6,6,1,9,50,46,5
2021-11-15,05,05362,6,6,6,2,7,53,53,7
2021-11-15,05,05366,3,3,6,4,4,24,24,4
2021-11-15,05,05370,3,3,7,4,5,35,35,5
2021-11-15,05,05374,6,6,7,3,13,67,67,13
2021-11-15,05,05378,4,4,2,2,6,34,34,6
2021-11-15,05,05382,6,7,10,1,11,74,63,10
2021-11-15,05,05512,2,2,2,2,17,26,26,17
2021-11-15,05,05513,4,7,9,6,22,75,62,9
2021-11-15,05,05515,7,9,8,7,8,198,186,6
2021-11-15,05,05554,5,6,7,1,19,48,48,17
2021-11-15,05,05558,3,5,1,0,7,24,14,7
2021-11-15,05,05562,14,15,22,6,34,190,166,26
2021-11-15,05,05566,5,7,6,2,20,86,72,19
2021-11-15,05,05570,5,6,7,2,6,41,41,4
2021-11-15,05,05711,4,6,16,3,7,131,107,3
2021-11-15,05,05754,4,4,4,2,9,45,45,9
2021-11-15,05,05758,3,5,4,3,8,48,40,6
2021-11-15,05,05762,5,6,3,2,6,29,25,6
2021-11-15,05,05766,2,2,11,8,3,47,47,3
2021-11-15,05,05770,6,9,19,12,23,183,160,20
2021-11-15,05,05774,5,7,9,9,13,70,62,6
2021-11-15,05,05911,6,8,19,11,25,162,148,18
2021-11-15,05,05913,9,9,14,8,30,258,258,30
2021-11-15,05,05914,5,7,4,1,13,71,67,7
2021-11-15,05,05915,5,7,4,2,22,69,55,14
2021-11-15,05,05916,4,4,7,5,4,60,60,4
2021-11-15,05,05954,6,8,4,3,21,105,70,13
2021-11-15,05,05958,9,10,6,3,16,74,71,15
2021-11-15,05,05962,8,10,8,5,18,86,84,12
2021-11-15,05,05966,3,3,0,0,11,15,15,11
2021-11-15,05,05970,5,5,8,5,8,95,95,8
2021-11-15,05,05974,7,9,5,1,24,68,63,13
2021-11-15,05,05978,8,8,7,1,10,96,96,10
2021-11-15,06,06411,4,7,9,8,15,82,44,4
2021-11-15,06,06412,12,17,45,15,42,253,226,37
2021-11-15,06,06413,2,4,16,11,12,90,84,10
2021-11-15,06,06414,4,6,19,9,8,96,84,8
2021-11-15,06,06431,5,5,5,2,7,34,34,7
2021-11-15,06,06432,2,2,10,8,0,26,26,0
2021-11-15,06,06433,2,2,8,3,1,24,24,1
