date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-21,01,01001,2,3,0,0,2,40,34,1
2021-11-21,01,01002,3,5,4,4,42,120,118,38
2021-11-21,01,01003,2,2,9,4,17,118,118,17
2021-11-21,01,01004,1,1,1,0,2,23,23,2
2021-11-21,01,01051,1,1,1,1,4,34,34,4
2021-11-21,01,01053,2,2,0,0,4,14,14,4
2021-11-21,01,01054,3,3,2,1,6,18,18,6
2021-11-21,01,01055,3,3,2,0,12,35,35,12
2021-11-21,01,01056,2,2,2,1,6,31,31,6
2021-11-21,01,01057,1,1,2,1,3,9,9,3
2021-11-21,01,01058,3,5,1,0,13,29,25,11
2021-11-21,01,01059,1,1,0,0,3,21,21,3
2021-11-21,01,01060,3,3,4,2,32,48,48,32
2021-11-21,01,01061,1,3,2,1,8,31,21,5
2021-11-21,01,01062,3,3,3,3,5,23,23,5
2021-11-21,02,02000,24,34,52,26,117,494,432,70
2021-11-21,03,03101,5,7,7,2,33,96,85,27
2021-11-21,03,03102,2,2,2,1,4,25,25,4
2021-11-21,03,03103,1,3,8,7,4,23,16,2
2021-11-21,03,03151,1,1,7,2,0,12,12,0
2021-11-21,03,03153,3,3,2,1,3,22,22,3
2021-11-21,03,03154,1,1,2,1,0,17,17,0
2021-11-21,03,03155,2,2,2,0,5,14,14,5
2021-11-21,03,03157,1,1,0,0,4,12,12,4
2021-11-21,03,03158,1,1,2,1,4,12,12,4
2021-11-21,03,03159,7,8,18,13,19,111,99,14
2021-11-21,03,03241,16,19,31,14,57,338,292,48
2021-11-21,03,03251,3,3,0,0,3,14,14,3
2021-11-21,03,03252,4,6,0,0,19,56,54,15
2021-11-21,03,03254,4,7,4,1,14,57,52,8
2021-11-21,03,03255,1,1,3,1,3,8,8,3
2021-11-21,03,03256,1,1,0,0,2,12,12,2
2021-11-21,03,03257,1,1,4,1,0,27,27,0
2021-11-21,03,03351,1,2,5,3,5,25,20,0
2021-11-21,03,03352,2,2,2,0,3,12,12,3
2021-11-21,03,03353,3,3,2,1,7,25,25,7
2021-11-21,03,03354,1,1,1,1,0,7,7,0
2021-11-21,03,03355,1,3,0,0,5,37,21,5
2021-11-21,03,03356,2,3,2,1,4,7,7,4
2021-11-21,03,03357,2,3,2,0,8,22,21,5
2021-11-21,03,03358,2,2,1,0,6,14,14,6
2021-11-21,03,03359,2,3,2,0,7,22,22,4
2021-11-21,03,03360,2,2,1,1,4,72,72,4
2021-11-21,03,03361,2,2,3,1,2,13,13,2
2021-11-21,03,03401,1,1,1,0,1,15,15,1
2021-11-21,03,03402,1,1,1,1,8,10,10,8
2021-11-21,03,03403,3,6,13,9,13,107,87,8
2021-11-21,03,03404,4,5,11,7,7,108,92,7
2021-11-21,03,03405,1,2,4,2,7,21,18,2
2021-11-21,03,03451,2,3,3,1,6,26,26,6
2021-11-21,03,03452,3,4,2,1,14,23,22,7
2021-11-21,03,03453,3,3,5,3,3,20,20,3
2021-11-21,03,03454,6,10,2,1,20,64,55,9
2021-11-21,03,03455,2,2,4,1,6,23,23,6
2021-11-21,03,03456,1,1,2,0,6,21,21,6
2021-11-21,03,03457,4,6,1,0,16,15,15,11
2021-11-21,03,03458,1,1,0,0,0,4,4,0
2021-11-21,03,03459,6,7,9,4,10,71,71,10
2021-11-21,03,03460,3,5,2,1,10,26,21,7
2021-11-21,03,03461,2,2,1,1,3,9,9,3
2021-11-21,03,03462,1,1,0,0,0,8,8,0
2021-11-21,04,04011,8,9,18,13,4,127,113,2
2021-11-21,04,04012,3,4,5,4,10,38,32,2
2021-11-21,05,05111,11,14,24,9,13,284,259,12
2021-11-21,05,05112,9,16,17,8,23,148,127,15
2021-11-21,05,05113,12,15,30,20,36,332,308,32
2021-11-21,05,05114,4,7,6,5,12,71,60,11
2021-11-21,05,05116,4,6,15,7,10,79,72,10
2021-11-21,05,05117,2,2,4,0,1,33,33,1
2021-11-21,05,05119,4,6,4,2,16,54,40,11
2021-11-21,05,05120,1,1,2,0,5,21,21,5
2021-11-21,05,05122,3,4,11,6,9,63,62,6
2021-11-21,05,05124,5,7,9,6,26,120,111,21
2021-11-21,05,05154,5,8,6,0,13,51,50,7
2021-11-21,05,05158,6,6,8,3,15,46,46,15
2021-11-21,05,05162,5,7,7,4,17,84,73,14
2021-11-21,05,05166,4,4,2,0,3,31,31,3
2021-11-21,05,05170,8,11,15,5,25,102,93,23
2021-11-21,05,05314,11,18,21,17,20,262,210,9
2021-11-21,05,05315,18,30,43,26,39,364,309,34
2021-11-21,05,05316,2,5,7,3,16,53,41,10
2021-11-21,05,05334,7,13,15,9,22,260,244,18
2021-11-21,05,05358,4,6,4,2,5,55,50,1
2021-11-21,05,05362,6,6,5,1,10,49,49,10
2021-11-21,05,05366,3,3,4,2,4,24,24,4
2021-11-21,05,05370,3,3,7,7,3,37,37,3
2021-11-21,05,05374,5,5,11,6,11,46,46,11
2021-11-21,05,05378,4,4,4,2,3,37,37,3
2021-11-21,05,05382,6,7,12,0,14,70,59,13
2021-11-21,05,05512,2,2,1,0,19,24,24,19
2021-11-21,05,05513,4,7,10,8,18,71,61,7
2021-11-21,05,05515,7,9,13,11,8,191,176,8
2021-11-21,05,05554,5,6,8,3,10,57,57,8
2021-11-21,05,05558,3,5,1,0,7,23,13,7
2021-11-21,05,05562,14,15,20,9,29,195,168,24
2021-11-21,05,05566,5,7,4,1,15,86,71,15
2021-11-21,05,05570,5,6,7,3,13,35,35,11
2021-11-21,05,05711,4,6,19,8,11,127,103,7
2021-11-21,05,05754,4,4,10,5,4,48,48,4
2021-11-21,05,05758,3,5,6,5,12,42,36,8
2021-11-21,05,05762,5,6,2,1,8,27,23,8
2021-11-21,05,05766,2,2,10,3,3,47,47,3
2021-11-21,05,05770,6,9,18,10,22,171,152,18
2021-11-21,05,05774,5,7,16,14,8,78,69,2
2021-11-21,05,05911,6,8,16,12,19,166,152,12
2021-11-21,05,05913,9,9,18,11,34,250,250,34
2021-11-21,05,05914,5,7,7,3,15,67,62,10
2021-11-21,05,05915,5,7,4,3,17,75,60,10
2021-11-21,05,05916,4,4,7,3,10,53,53,10
2021-11-21,05,05954,6,8,3,2,16,112,77,8
2021-11-21,05,05958,9,10,4,1,18,69,65,18
2021-11-21,05,05962,8,10,11,6,15,87,83,11
2021-11-21,05,05966,3,3,0,0,14,14,14,14
2021-11-21,05,05970,5,5,11,6,14,86,86,14
2021-11-21,05,05974,7,9,7,2,12,75,66,6
2021-11-21,05,05978,8,8,7,2,4,99,99,4
2021-11-21,06,06411,4,7,11,7,17,81,46,3
2021-11-21,06,06412,12,17,47,20,42,250,227,35
2021-11-21,06,06413,2,4,16,12,17,89,78,16
2021-11-21,06,06414,4,6,18,9,7,95,82,7
2021-11-21,06,06431,5,5,2,0,8,28,28,8
2021-11-21,06,06432,2,2,12,8,0,26,26,0
2021-11-21,06,06433,2,2,9,1,1,24,24,1
2021-11-21,06,06434,2,2,7,3,4,20,20,4
2021-11-21,06,06435,4,7,10,5,12,70,64,5
2021-11-21,06,06436,2,2,5,2,3,23,23,3
2021-11-21,06,06437,2,2,3,1,4,122,122,4
2021-11-21,06,06438,2,2,9,7,7,15,15,7
2021-11-21,06,06439,2,2,4,3,3,13,13,3
2021-11-21,06,06440,5,5,6,2,2,60,60,2
2021-11-21,06,06531,4,6,19,15,18,175,156,17
2021-11-21,06,06532,2,2,2,2,2,42,42,2
2021-11-21,06,06533,3,3,2,1,5,42,42,5
2021-11-21,06,06534,3,3,5,4,22,113,113,22
2021-11-21,06,06535,4,4,2,1,5,20,20,5
2021-11-21,06,06611,6,6,11,4,19,125,125,19
2021-11-21,06,06631,3,5,6,2,13,77,69,10
2021-11-21,06,06632,3,4,4,1,18,36,34,13
