date,bundesland,gemeindeschluessel,anzahl_standorte,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_invasiv_beatmet,betten_frei,betten_belegt,betten_belegt_nur_erwachsen,betten_frei_nur_erwachsen
2021-11-04,01,01001,2,3,2,1,4,37,33,1
2021-11-04,01,01002,3,5,4,4,40,124,123,35
2021-11-04,01,01003,2,2,7,5,15,119,119,15
2021-11-04,01,01004,1,1,0,0,1,24,24,1
2021-11-04,01,01051,1,1,2,0,3,35,35,3
2021-11-04,01,01053,2,2,1,0,3,15,15,3
2021-11-04,01,01054,3,3,3,2,4,20,20,4
2021-11-04,01,01055,3,3,0,0,10,41,41,10
2021-11-04,01,01056,2,2,1,1,2,33,33,2
2021-11-04,01,01057,1,1,0,0,7,5,5,7
2021-11-04,01,01058,3,5,0,0,14,28,25,11
2021-11-04,01,01059,1,1,0,0,1,23,23,1
2021-11-04,01,01060,3,3,1,1,15,70,70,15
2021-11-04,01,01061,1,3,0,0,7,36,26,4
2021-11-04,01,01062,3,3,0,0,5,26,26,5
2021-11-04,02,02000,24,34,50,31,95,523,447,62
2021-11-04,03,03101,5,7,3,1,29,100,88,24
2021-11-04,03,03102,2,2,2,1,1,28,28,1
2021-11-04,03,03103,1,3,2,2,2,29,21,1
2021-11-04,03,03151,1,1,2,1,0,12,12,0
2021-11-04,03,03153,3,3,2,1,2,27,27,2
2021-11-04,03,03154,1,1,3,2,0,17,17,0
2021-11-04,03,03155,2,2,2,1,3,18,18,3
2021-11-04,03,03157,1,1,2,1,3,13,13,3
2021-11-04,03,03158,1,1,1,0,4,12,12,4
2021-11-04,03,03159,7,8,10,6,23,119,104,21
2021-11-04,03,03241,16,19,34,24,38,367,325,30
2021-11-04,03,03251,3,3,1,0,2,15,15,2
2021-11-04,03,03252,4,6,4,1,7,68,65,4
2021-11-04,03,03254,4,7,1,0,19,56,51,13
2021-11-04,03,03255,1,1,2,0,3,8,8,3
2021-11-04,03,03256,1,1,1,1,1,13,13,1
2021-11-04,03,03257,1,1,2,0,2,25,25,2
2021-11-04,03,03351,1,2,3,2,1,31,22,0
2021-11-04,03,03352,2,2,0,0,6,9,9,6
2021-11-04,03,03353,3,3,6,2,4,28,28,4
2021-11-04,03,03354,1,1,1,1,1,5,5,1
2021-11-04,03,03355,1,3,2,2,9,32,20,4
2021-11-04,03,03356,2,3,2,0,0,9,9,0
2021-11-04,03,03357,2,3,1,0,5,27,26,2
2021-11-04,03,03358,2,2,1,0,0,18,18,0
2021-11-04,03,03359,2,3,1,1,8,23,23,5
2021-11-04,03,03360,2,2,2,2,5,71,71,5
2021-11-04,03,03361,2,2,1,0,1,13,13,1
2021-11-04,03,03401,1,1,1,0,0,16,16,0
2021-11-04,03,03402,1,1,1,1,3,16,16,3
2021-11-04,03,03403,3,6,14,10,8,108,91,3
2021-11-04,03,03404,4,5,11,6,11,109,94,10
2021-11-04,03,03405,1,2,3,2,7,22,17,4
2021-11-04,03,03451,2,3,0,0,2,31,31,2
2021-11-04,03,03452,3,4,1,0,8,28,23,5
2021-11-04,03,03453,3,3,5,3,6,18,18,6
2021-11-04,03,03454,6,10,6,1,18,72,56,9
2021-11-04,03,03455,2,2,1,0,5,28,28,5
2021-11-04,03,03456,1,1,1,0,6,21,21,6
2021-11-04,03,03457,4,6,1,0,6,25,25,1
2021-11-04,03,03458,1,1,2,2,0,10,10,0
2021-11-04,03,03459,6,7,5,3,15,81,81,15
2021-11-04,03,03460,3,5,2,1,4,32,27,1
2021-11-04,03,03461,2,2,0,0,5,10,10,5
2021-11-04,03,03462,1,1,0,0,0,8,8,0
2021-11-04,04,04011,8,9,15,9,4,153,138,3
2021-11-04,04,04012,3,4,5,5,15,36,35,8
2021-11-04,05,05111,11,14,24,10,19,282,257,18
2021-11-04,05,05112,9,15,12,2,21,171,151,17
2021-11-04,05,05113,12,15,20,13,23,349,323,19
2021-11-04,05,05114,4,7,9,2,11,75,65,9
2021-11-04,05,05116,4,6,10,5,9,82,76,8
2021-11-04,05,05117,2,2,2,1,5,31,31,5
2021-11-04,05,05119,4,6,4,4,13,59,45,8
2021-11-04,05,05120,1,1,1,0,6,20,20,6
2021-11-04,05,05122,3,4,8,4,10,62,61,7
2021-11-04,05,05124,5,7,8,4,17,133,124,12
2021-11-04,05,05154,5,8,3,1,12,54,54,4
2021-11-04,05,05158,6,6,3,1,10,51,51,10
2021-11-04,05,05162,5,7,4,2,14,88,77,11
2021-11-04,05,05166,4,4,1,1,2,32,32,2
2021-11-04,05,05170,8,11,2,1,26,101,96,21
2021-11-04,05,05314,11,18,17,11,11,277,218,9
2021-11-04,05,05315,18,30,39,23,15,391,336,10
2021-11-04,05,05316,2,5,7,3,9,60,47,4
2021-11-04,05,05334,7,13,11,8,20,262,247,17
2021-11-04,05,05358,4,6,6,4,6,56,50,4
2021-11-04,05,05362,6,6,5,2,10,48,48,10
2021-11-04,05,05366,3,3,6,5,1,25,25,1
2021-11-04,05,05370,3,3,5,4,1,39,39,1
2021-11-04,05,05374,5,5,5,1,18,41,41,18
2021-11-04,05,05378,4,4,4,4,10,32,32,10
2021-11-04,05,05382,6,7,5,2,6,78,66,6
2021-11-04,05,05512,2,2,2,2,14,29,29,14
2021-11-04,05,05513,4,7,6,3,16,81,68,3
2021-11-04,05,05515,7,9,6,4,13,202,187,12
2021-11-04,05,05554,5,6,4,3,12,55,53,12
2021-11-04,05,05558,3,5,1,1,4,27,17,4
2021-11-04,05,05562,14,15,14,4,30,196,171,23
2021-11-04,05,05566,5,7,3,2,22,84,70,21
2021-11-04,05,05570,5,6,5,2,9,36,35,8
2021-11-04,05,05711,4,6,9,4,18,124,99,11
2021-11-04,05,05754,3,3,4,1,6,26,26,6
2021-11-04,05,05758,3,5,5,3,11,43,40,4
2021-11-04,05,05762,5,6,2,2,9,26,22,9
2021-11-04,05,05766,2,2,6,1,0,50,50,0
